sigma_x,sigma_y,tau_xy
0.0,0.0,0.0
1595679901.7298307,3077606286.633266,0.1
1595679901.7298307,-3077606286.633266,0.1
-1595679901.7298307,-3077606286.633266,0.1
-1595679901.7298307,3077606286.633266,0.1
3377143071.2326131,2534047996.2194057,0.1
3377143071.2326131,-2534047996.2194057,0.1
-3377143071.2326131,-2534047996.2194057,0.1
-3377143071.2326131,2534047996.2194057,0.1
1748586073.8346291,3586092814.0032029,0.1
1748586073.8346291,-3586092814.0032029,0.1
-1748586073.8346291,-3586092814.0032029,0.1
-1748586073.8346291,3586092814.0032029,0.1
2551988526.045125,2950546253.1038189,0.1
2551988526.045125,-2950546253.1038189,0.1
-2551988526.045125,-2950546253.1038189,0.1
-2551988526.045125,2950546253.1038189,0.1
3509257317.184237,479362102.90299445,0.1
3509257317.184237,-479362102.90299445,0.1
-3509257317.184237,-479362102.90299445,0.1
-3509257317.184237,479362102.90299445,0.1
2138771377.5752237,3293387020.5664749,0.1
2138771377.5752237,-3293387020.5664749,0.1
-2138771377.5752237,-3293387020.5664749,0.1
-2138771377.5752237,3293387020.5664749,0.1
1096527860.181891,1082528938.1594505,0.1
1096527860.181891,-1082528938.1594505,0.1
-1096527860.181891,-1082528938.1594505,0.1
-1096527860.181891,1082528938.1594505,0.1
3257775134.3612347,2494578314.3163915,0.1
3257775134.3612347,-2494578314.3163915,0.1
-3257775134.3612347,-2494578314.3163915,0.1
-3257775134.3612347,2494578314.3163915,0.1
3069606172.3235383,3388007727.0037394,0.1
3069606172.3235383,-3388007727.0037394,0.1
-3069606172.3235383,-3388007727.0037394,0.1
-3069606172.3235383,3388007727.0037394,0.1
1549610371.5932746,145275213.376724,0.1
1549610371.5932746,-145275213.376724,0.1
-1549610371.5932746,-145275213.376724,0.1
-1549610371.5932746,145275213.376724,0.1
1339787912.2140081,3849206178.0230198,0.1
1339787912.2140081,-3849206178.0230198,0.1
-1339787912.2140081,-3849206178.0230198,0.1
-1339787912.2140081,3849206178.0230198,0.1
707726688.3354764,2052711930.2832825,0.1
707726688.3354764,-2052711930.2832825,0.1
-707726688.3354764,-2052711930.2832825,0.1
-707726688.3354764,2052711930.2832825,0.1
468107441.39112025,1306057172.7781386,0.1
468107441.39112025,-1306057172.7781386,0.1
-468107441.39112025,-1306057172.7781386,0.1
-468107441.39112025,1306057172.7781386,0.1
1253795074.1408753,3314202674.5732522,0.1
1253795074.1408753,-3314202674.5732522,0.1
-1253795074.1408753,-3314202674.5732522,0.1
-1253795074.1408753,3314202674.5732522,0.1
76794891.145824611,4103430579.2978773,0.1
76794891.145824611,-4103430579.2978773,0.1
-76794891.145824611,-4103430579.2978773,0.1
-76794891.145824611,4103430579.2978773,0.1
2468508462.8244319,2723459103.3249774,0.1
2468508462.8244319,-2723459103.3249774,0.1
-2468508462.8244319,-2723459103.3249774,0.1
-2468508462.8244319,2723459103.3249774,0.1
1034921015.01098,2639411628.6614857,0.1
1034921015.01098,-2639411628.6614857,0.1
-1034921015.01098,-2639411628.6614857,0.1
-1034921015.01098,2639411628.6614857,0.1
952574713.41903055,2187477556.6167407,0.1
952574713.41903055,-2187477556.6167407,0.1
-952574713.41903055,-2187477556.6167407,0.1
-952574713.41903055,2187477556.6167407,0.1
3728807069.8184834,4090903947.6652699,0.1
3728807069.8184834,-4090903947.6652699,0.1
