sigma_x,sigma_y,tau_xy
0.0,0.0,0.0
1523180779.5454397,293126335.06118858,0.1
1523180779.5454397,-293126335.06118858,0.1
-1523180779.5454397,-293126335.06118858,0.1
-1523180779.5454397,293126335.06118858,0.1
548729573.81536806,394752639.88373697,0.1
548729573.81536806,-394752639.88373697,0.1
-548729573.81536806,-394752639.88373697,0.1
-548729573.81536806,394752639.88373697,0.1
349807656.21532261,1080432920.3027575,0.1
349807656.21532261,-1080432920.3027575,0.1
-349807656.21532261,-1080432920.3027575,0.1
-349807656.21532261,1080432920.3027575,0.1
1267133811.470962,945114658.11970067,0.1
1267133811.470962,-945114658.11970067,0.1
-1267133811.470962,-945114658.11970067,0.1
-1267133811.470962,945114658.11970067,0.1
645120400.95212567,1338588466.9151368,0.1
645120400.95212567,-1338588466.9151368,0.1
-645120400.95212567,-1338588466.9151368,0.1
-645120400.95212567,1338588466.9151368,0.1
309942057.5867933,157462668.47675097,0.1
309942057.5867933,-157462668.47675097,0.1
-309942057.5867933,-157462668.47675097,0.1
-309942057.5867933,157462668.47675097,0.1
511707248.90227526,696756146.80516458,0.1
511707248.90227526,-696756146.80516458,0.1
-511707248.90227526,-696756146.80516458,0.1
-511707248.90227526,696756146.80516458,0.1
61521255.384655826,1211997475.6946518,0.1
61521255.384655826,-1211997475.6946518,0.1
-61521255.384655826,-1211997475.6946518,0.1
-61521255.384655826,1211997475.6946518,0.1
723510876.73912847,1255315442.133184,0.1
723510876.73912847,-1255315442.133184,0.1
-723510876.73912847,-1255315442.133184,0.1
-723510876.73912847,1255315442.133184,0.1
402530563.43531662,1066539943.7029252,0.1
402530563.43531662,-1066539943.7029252,0.1
-402530563.43531662,-1066539943.7029252,0.1
-402530563.43531662,1066539943.7029252,0.1
430307011.84231776,378211463.62628859,0.1
430307011.84231776,-378211463.62628859,0.1
-430307011.84231776,-378211463.62628859,0.1
-430307011.84231776,378211463.62628859,0.1
432508726.28060281,1148404695.9106796,0.1
432508726.28060281,-1148404695.9106796,0.1
