sigma_x,sigma_y,tau_xy
0.0,0.0,0.0
671538544.72818649,823698675.61974442,0.1
671538544.72818649,-823698675.61974442,0.1
-671538544.72818649,-823698675.61974442,0.1
-671538544.72818649,823698675.61974442,0.1
650713368.91679335,746352507.48041153,0.1
650713368.91679335,-746352507.48041153,0.1
-650713368.91679335,-746352507.48041153,0.1
-650713368.91679335,746352507.48041153,0.1
935918369.79067206,591598354.42941761,0.1
935918369.79067206,-591598354.42941761,0.1
-935918369.79067206,-591598354.42941761,0.1
-935918369.79067206,591598354.42941761,0.1
373067894.68419307,899633183.33118951,0.1
373067894.68419307,-899633183.33118951,0.1
-373067894.68419307,-899633183.33118951,0.1
-373067894.68419307,899633183.33118951,0.1
617381162.70930421,589199784.16297829,0.1
617381162.70930421,-589199784.16297829,0.1
-617381162.70930421,-589199784.16297829,0.1
-617381162.70930421,589199784.16297829,0.1
760332184.12336469,932163436.27193594,0.1
760332184.12336469,-932163436.27193594,0.1
-760332184.12336469,-932163436.27193594,0.1
-760332184.12336469,932163436.27193594,0.1
850685487.1450088,879685860.46254301,0.1
850685487.1450088,-879685860.46254301,0.1
-850685487.1450088,-879685860.46254301,0.1
-850685487.1450088,879685860.46254301,0.1
1026694414.2094076,296923276.09317338,0.1
1026694414.2094076,-296923276.09317338,0.1
-1026694414.2094076,-296923276.09317338,0.1
-1026694414.2094076,296923276.09317338,0.1
62296142.909758233,729319888.15358067,0.1
62296142.909758233,-729319888.15358067,0.1
-62296142.909758233,-729319888.15358067,0.1
-62296142.909758233,729319888.15358067,0.1
933659984.96993363,260884836.37730828,0.1
933659984.96993363,-260884836.37730828,0.1
-933659984.96993363,-260884836.37730828,0.1
-933659984.96993363,260884836.37730828,0.1
84178444.465235308,853330834.14873016,0.1
84178444.465235308,-853330834.14873016,0.1
-84178444.465235308,-853330834.14873016,0.1
-84178444.465235308,853330834.14873016,0.1
168307212.05516061,357380163.16213304,0.1
168307212.05516061,-357380163.16213304,0.1
-168307212.05516061,-357380163.16213304,0.1
-168307212.05516061,357380163.16213304,0.1
87511619.354463264,509937296.79988694,0.1
87511619.354463264,-509937296.79988694,0.1
-87511619.354463264,-509937296.79988694,0.1
-87511619.354463264,509937296.79988694,0.1
775841218.47177541,822152033.05924225,0.1
775841218.47177541,-822152033.05924225,0.1
-775841218.47177541,-822152033.05924225,0.1
-775841218.47177541,822152033.05924225,0.1
706107387.83097422,871192508.15021837,0.1
706107387.83097422,-871192508.15021837,0.1
-706107387.83097422,-871192508.15021837,0.1
-706107387.83097422,871192508.15021837,0.1
703062048.5887754,672476762.65669382,0.1
703062048.5887754,-672476762.65669382,0.1
-703062048.5887754,-672476762.65669382,0.1
-703062048.5887754,672476762.65669382,0.1
95186243.673173428,104793201.14745748,0.1
95186243.673173428,-104793201.14745748,0.1
-95186243.673173428,-104793201.14745748,0.1
-95186243.673173428,104793201.14745748,0.1
641744905.77602136,645693921.33688498,0.1
641744905.77602136,-645693921.33688498,0.1
-641744905.77602136,-645693921.33688498,0.1
-641744905.77602136,645693921.33688498,0.1
214589841.05590075,166889940.82041898,0.1
214589841.05590075,-166889940.82041898,0.1
-214589841.05590075,-166889940.82041898,0.1
-214589841.05590075,166889940.82041898,0.1
966537514.50368679,599804110.50871956,0.1
966537514.50368679,-599804110.50871956,0.1
-966537514.50368679,-599804110.50871956,0.1
-966537514.50368679,599804110.50871956,0.1
914365851.37868237,1102599921.9732833,0.1
914365851.37868237,-1102599921.9732833,0.1
-914365851.37868237,-1102599921.9732833,0.1
-914365851.37868237,1102599921.9732833,0.1
1035280097.115844,533719055.61247593,0.1
1035280097.115844,-533719055.61247593,0.1
-1035280097.115844,-533719055.61247593,0.1
-1035280097.115844,533719055.61247593,0.1
60835871.147573695,332220862.25630397,0.1
60835871.147573695,-332220862.25630397,0.1
-60835871.147573695,-332220862.25630397,0.1
-60835871.147573695,332220862.25630397,0.1
128328542.43881358,724634606.12930703,0.1
128328542.43881358,-724634606.12930703,0.1
-128328542.43881358,-724634606.12930703,0.1
-128328542.43881358,724634606.12930703,0.1
304487704.07542396,952243956.81683505,0.1
304487704.07542396,-952243956.81683505,0.1
-304487704.07542396,-952243956.81683505,0.1
-304487704.07542396,952243956.81683505,0.1
386957647.76576996,830777365.83847296,0.1
386957647.76576996,-830777365.83847296,0.1
-386957647.76576996,-830777365.83847296,0.1
-386957647.76576996,830777365.83847296,0.1
324912923.67642468,678536649.27399254,0.1
324912923.67642468,-678536649.27399254,0.1
-324912923.67642468,-678536649.27399254,0.1
-324912923.67642468,678536649.27399254,0.1
20245388.40700515,1119853730.2646914,0.1
20245388.40700515,-1119853730.2646914,0.1
-20245388.40700515,-1119853730.2646914,0.1
-20245388.40700515,1119853730.2646914,0.1
976635135.93625438,765164113.52301335,0.1
976635135.93625438,-765164113.52301335,0.1
-976635135.93625438,-765164113.52301335,0.1
-976635135.93625438,765164113.52301335,0.1
619064676.32571375,660073527.0196898,0.1
619064676.32571375,-660073527.0196898,0.1
-619064676.32571375,-660073527.0196898,0.1
-619064676.32571375,660073527.0196898,0.1
469888377.04758132,765424186.0849992,0.1
469888377.04758132,-765424186.0849992,0.1
-469888377.04758132,-765424186.0849992,0.1
-469888377.04758132,765424186.0849992,0.1
764003161.90631986,490835974.49028111,0.1
764003161.90631986,-490835974.49028111,0.1
-764003161.90631986,-490835974.49028111,0.1
-764003161.90631986,490835974.49028111,0.1
993381081.72375417,197084823.83836377,0.1
993381081.72375417,-197084823.83836377,0.1
-993381081.72375417,-197084823.83836377,0.1
-993381081.72375417,197084823.83836377,0.1
230994529.77787581,654313435.54587007,0.1
230994529.77787581,-654313435.54587007,0.1
-230994529.77787581,-654313435.54587007,0.1
-230994529.77787581,654313435.54587007,0.1
587411112.47345912,7366904.1337887356,0.1
587411112.47345912,-7366904.1337887356,0.1
-587411112.47345912,-7366904.1337887356,0.1
-587411112.47345912,7366904.1337887356,0.1
940193621.12563014,528025211.37278521,0.1
940193621.12563014,-528025211.37278521,0.1
-940193621.12563014,-528025211.37278521,0.1
-940193621.12563014,528025211.37278521,0.1
349513939.8880375,310885636.18546301,0.1
349513939.8880375,-310885636.18546301,0.1
-349513939.8880375,-310885636.18546301,0.1
-349513939.8880375,310885636.18546301,0.1
221097805.45393589,225523675.27376425,0.1
221097805.45393589,-225523675.27376425,0.1
-221097805.45393589,-225523675.27376425,0.1
-221097805.45393589,225523675.27376425,0.1
867003490.53213918,744192616.47469425,0.1
867003490.53213918,-744192616.47469425,0.1
-867003490.53213918,-744192616.47469425,0.1
-867003490.53213918,744192616.47469425,0.1
6089834.2841249751,49739386.577541277,0.1
6089834.2841249751,-49739386.577541277,0.1
-6089834.2841249751,-49739386.577541277,0.1
-6089834.2841249751,49739386.577541277,0.1
306450150.23545164,1020045692.4524134,0.1
306450150.23545164,-1020045692.4524134,0.1
-306450150.23545164,-1020045692.4524134,0.1
-306450150.23545164,1020045692.4524134,0.1
1018942916.6090223,960522995.64343238,0.1
1018942916.6090223,-960522995.64343238,0.1
-1018942916.6090223,-960522995.64343238,0.1
-1018942916.6090223,960522995.64343238,0.1
1121720130.1533897,555429542.01212776,0.1
1121720130.1533897,-555429542.01212776,0.1
-1121720130.1533897,-555429542.01212776,0.1
-1121720130.1533897,555429542.01212776,0.1
349309777.49091405,676197064.16370225,0.1
349309777.49091405,-676197064.16370225,0.1
-349309777.49091405,-676197064.16370225,0.1
-349309777.49091405,676197064.16370225,0.1
463112682.70307463,394939615.36743808,0.1
463112682.70307463,-394939615.36743808,0.1
-463112682.70307463,-394939615.36743808,0.1
-463112682.70307463,394939615.36743808,0.1
804035806.12548018,913371402.11080956,0.1
804035806.12548018,-913371402.11080956,0.1
-804035806.12548018,-913371402.11080956,0.1
-804035806.12548018,913371402.11080956,0.1
602348391.84942245,661883993.2122016,0.1
602348391.84942245,-661883993.2122016,0.1
-602348391.84942245,-661883993.2122016,0.1
-602348391.84942245,661883993.2122016,0.1
1131385386.364599,738797659.30690706,0.1
1131385386.364599,-738797659.30690706,0.1
-1131385386.364599,-738797659.30690706,0.1
-1131385386.364599,738797659.30690706,0.1
706407633.24117589,151780545.88508493,0.1
706407633.24117589,-151780545.88508493,0.1
-706407633.24117589,-151780545.88508493,0.1
-706407633.24117589,151780545.88508493,0.1
288296262.31114376,461603642.78626746,0.1
288296262.31114376,-461603642.78626746,0.1
-288296262.31114376,-461603642.78626746,0.1
-288296262.31114376,461603642.78626746,0.1
701175300.03156471,813311906.74002957,0.1
701175300.03156471,-813311906.74002957,0.1
-701175300.03156471,-813311906.74002957,0.1
-701175300.03156471,813311906.74002957,0.1
14226723.144260325,360476997.5161013,0.1
14226723.144260325,-360476997.5161013,0.1
-14226723.144260325,-360476997.5161013,0.1
-14226723.144260325,360476997.5161013,0.1
697519013.04811895,32786247.356161535,0.1
697519013.04811895,-32786247.356161535,0.1
-697519013.04811895,-32786247.356161535,0.1
-697519013.04811895,32786247.356161535,0.1
1009473670.9099289,850495209.24303603,0.1
1009473670.9099289,-850495209.24303603,0.1
-1009473670.9099289,-850495209.24303603,0.1
-1009473670.9099289,850495209.24303603,0.1
778883616.16240561,261095318.33890691,0.1
778883616.16240561,-261095318.33890691,0.1
-778883616.16240561,-261095318.33890691,0.1
-778883616.16240561,261095318.33890691,0.1
1076899935.4732976,1000353491.5441866,0.1
1076899935.4732976,-1000353491.5441866,0.1
-1076899935.4732976,-1000353491.5441866,0.1
-1076899935.4732976,1000353491.5441866,0.1
128205559.76918608,747353850.67093813,0.1
128205559.76918608,-747353850.67093813,0.1
-128205559.76918608,-747353850.67093813,0.1
-128205559.76918608,747353850.67093813,0.1
586906680.47718346,1004054682.4165826,0.1
586906680.47718346,-1004054682.4165826,0.1
-586906680.47718346,-1004054682.4165826,0.1
-586906680.47718346,1004054682.4165826,0.1
1121003706.1410363,939289860.52428591,0.1
1121003706.1410363,-939289860.52428591,0.1
-1121003706.1410363,-939289860.52428591,0.1
-1121003706.1410363,939289860.52428591,0.1
745754961.74740613,275154006.02536643,0.1
745754961.74740613,-275154006.02536643,0.1
-745754961.74740613,-275154006.02536643,0.1
-745754961.74740613,275154006.02536643,0.1
1133300556.8587692,274015830.62776411,0.1
