sigma_x,sigma_y,tau_xy
0.0,0.0,0.0
483566382.25991333,1451683716.858639,0.1
483566382.25991333,-1451683716.858639,0.1
-483566382.25991333,-1451683716.858639,0.1
-483566382.25991333,1451683716.858639,0.1
39847538.027959734,1158224496.3892429,0.1
39847538.027959734,-1158224496.3892429,0.1
-39847538.027959734,-1158224496.3892429,0.1
-39847538.027959734,1158224496.3892429,0.1
2768907954.9611902,3791704800.1789584,0.1
2768907954.9611902,-3791704800.1789584,0.1
-2768907954.9611902,-3791704800.1789584,0.1
-2768907954.9611902,3791704800.1789584,0.1
2282829991.5465322,2070154382.2262678,0.1
2282829991.5465322,-2070154382.2262678,0.1
-2282829991.5465322,-2070154382.2262678,0.1
-2282829991.5465322,2070154382.2262678,0.1
1186755823.1870704,3853866182.9767756,0.1
1186755823.1870704,-3853866182.9767756,0.1
-1186755823.1870704,-3853866182.9767756,0.1
-1186755823.1870704,3853866182.9767756,0.1
1364094844.990212,2741462789.2537351,0.1
1364094844.990212,-2741462789.2537351,0.1
-1364094844.990212,-2741462789.2537351,0.1
-1364094844.990212,2741462789.2537351,0.1
217139099.12633052,3509803525.6607981,0.1
217139099.12633052,-3509803525.6607981,0.1
-217139099.12633052,-3509803525.6607981,0.1
-217139099.12633052,3509803525.6607981,0.1
188209894.88558984,1614006051.8903451,0.1
188209894.88558984,-1614006051.8903451,0.1
-188209894.88558984,-1614006051.8903451,0.1
-188209894.88558984,1614006051.8903451,0.1
2159815913.0633612,3086995772.8831224,0.1
2159815913.0633612,-3086995772.8831224,0.1
-2159815913.0633612,-3086995772.8831224,0.1
-2159815913.0633612,3086995772.8831224,0.1
2179376012.2723107,2321074472.0076389,0.1
2179376012.2723107,-2321074472.0076389,0.1
-2179376012.2723107,-2321074472.0076389,0.1
-2179376012.2723107,2321074472.0076389,0.1
3512523893.0352721,943360702.73255301,0.1
3512523893.0352721,-943360702.73255301,0.1
-3512523893.0352721,-943360702.73255301,0.1
-3512523893.0352721,943360702.73255301,0.1
1844049452.3960831,3819145345.4537668,0.1
1844049452.3960831,-3819145345.4537668,0.1
-1844049452.3960831,-3819145345.4537668,0.1
-1844049452.3960831,3819145345.4537668,0.1
57769598.820506498,2753019307.1532755,0.1
57769598.820506498,-2753019307.1532755,0.1
-57769598.820506498,-2753019307.1532755,0.1
-57769598.820506498,2753019307.1532755,0.1
2026032864.7966506,1587690843.3461757,0.1
2026032864.7966506,-1587690843.3461757,0.1
-2026032864.7966506,-1587690843.3461757,0.1
-2026032864.7966506,1587690843.3461757,0.1
1075920196.8326514,2461955654.2551842,0.1
1075920196.8326514,-2461955654.2551842,0.1
-1075920196.8326514,-2461955654.2551842,0.1
-1075920196.8326514,2461955654.2551842,0.1
505946733.99543571,290330801.08147669,0.1
505946733.99543571,-290330801.08147669,0.1
-505946733.99543571,-290330801.08147669,0.1
-505946733.99543571,290330801.08147669,0.1
2447150415.1621966,1396474133.3093641,0.1
2447150415.1621966,-1396474133.3093641,0.1
-2447150415.1621966,-1396474133.3093641,0.1
-2447150415.1621966,1396474133.3093641,0.1
3491231195.6395612,3379243053.8663068,0.1
3491231195.6395612,-3379243053.8663068,0.1
-3491231195.6395612,-3379243053.8663068,0.1
-3491231195.6395612,3379243053.8663068,0.1
