sigma_x,sigma_y,tau_xy
0.0,0.0,0.0
72708298.693891689,227353044.01869413,0.1
72708298.693891689,-227353044.01869413,0.1
-72708298.693891689,-227353044.01869413,0.1
-72708298.693891689,227353044.01869413,0.1
94378823.300356939,321167108.58393091,0.1
94378823.300356939,-321167108.58393091,0.1
-94378823.300356939,-321167108.58393091,0.1
-94378823.300356939,321167108.58393091,0.1
374815601.70584589,318338173.10247278,0.1
374815601.70584589,-318338173.10247278,0.1
-374815601.70584589,-318338173.10247278,0.1
-374815601.70584589,318338173.10247278,0.1
43207013.299308866,252845567.39497608,0.1
43207013.299308866,-252845567.39497608,0.1
-43207013.299308866,-252845567.39497608,0.1
-43207013.299308866,252845567.39497608,0.1
312136999.86686057,91272495.251196697,0.1
312136999.86686057,-91272495.251196697,0.1
-312136999.86686057,-91272495.251196697,0.1
-312136999.86686057,91272495.251196697,0.1
344294942.84908712,66282665.487381011,0.1
344294942.84908712,-66282665.487381011,0.1
-344294942.84908712,-66282665.487381011,0.1
-344294942.84908712,66282665.487381011,0.1
100626039.36654779,103264498.48719589,0.1
100626039.36654779,-103264498.48719589,0.1
-100626039.36654779,-103264498.48719589,0.1
-100626039.36654779,103264498.48719589,0.1
35998662.986452714,16549000.752884384,0.1
35998662.986452714,-16549000.752884384,0.1
-35998662.986452714,-16549000.752884384,0.1
-35998662.986452714,16549000.752884384,0.1
351680258.36273438,387173461.97076708,0.1
351680258.36273438,-387173461.97076708,0.1
-351680258.36273438,-387173461.97076708,0.1
-351680258.36273438,387173461.97076708,0.1
316274301.65594643,301195763.2097882,0.1
316274301.65594643,-301195763.2097882,0.1
-316274301.65594643,-301195763.2097882,0.1
-316274301.65594643,301195763.2097882,0.1
277064916.67037451,45376632.832324147,0.1
277064916.67037451,-45376632.832324147,0.1
-277064916.67037451,-45376632.832324147,0.1
-277064916.67037451,45376632.832324147,0.1
68553282.407887042,375939182.08579761,0.1
68553282.407887042,-375939182.08579761,0.1
-68553282.407887042,-375939182.08579761,0.1
-68553282.407887042,375939182.08579761,0.1
95940315.658890024,3866290.3461281382,0.1
95940315.658890024,-3866290.3461281382,0.1
-95940315.658890024,-3866290.3461281382,0.1
-95940315.658890024,3866290.3461281382,0.1
372371509.52796835,183508451.77940875,0.1
372371509.52796835,-183508451.77940875,0.1
-372371509.52796835,-183508451.77940875,0.1
-372371509.52796835,183508451.77940875,0.1
386685219.60248822,117073007.50901361,0.1
386685219.60248822,-117073007.50901361,0.1
-386685219.60248822,-117073007.50901361,0.1
-386685219.60248822,117073007.50901361,0.1
190615985.45515788,339304492.10187066,0.1
190615985.45515788,-339304492.10187066,0.1
-190615985.45515788,-339304492.10187066,0.1
-190615985.45515788,339304492.10187066,0.1
15870650.035567494,318456031.83712524,0.1
15870650.035567494,-318456031.83712524,0.1
-15870650.035567494,-318456031.83712524,0.1
-15870650.035567494,318456031.83712524,0.1
388462533.65427113,48651351.915751256,0.1
388462533.65427113,-48651351.915751256,0.1
-388462533.65427113,-48651351.915751256,0.1
-388462533.65427113,48651351.915751256,0.1
157186837.1981295,239669468.21690962,0.1
157186837.1981295,-239669468.21690962,0.1
-157186837.1981295,-239669468.21690962,0.1
-157186837.1981295,239669468.21690962,0.1
34150723.487285413,171744532.71349138,0.1
34150723.487285413,-171744532.71349138,0.1
-34150723.487285413,-171744532.71349138,0.1
-34150723.487285413,171744532.71349138,0.1
60906388.146188982,238720870.07681057,0.1
60906388.146188982,-238720870.07681057,0.1
-60906388.146188982,-238720870.07681057,0.1
-60906388.146188982,238720870.07681057,0.1
167708319.86665255,295565787.68133086,0.1
167708319.86665255,-295565787.68133086,0.1
-167708319.86665255,-295565787.68133086,0.1
-167708319.86665255,295565787.68133086,0.1
94895105.201403111,245867968.72239348,0.1
94895105.201403111,-245867968.72239348,0.1
-94895105.201403111,-245867968.72239348,0.1
-94895105.201403111,245867968.72239348,0.1
271206343.27044624,179301602.25343302,0.1
271206343.27044624,-179301602.25343302,0.1
-271206343.27044624,-179301602.25343302,0.1
-271206343.27044624,179301602.25343302,0.1
220711143.45466539,373878524.9903751,0.1
220711143.45466539,-373878524.9903751,0.1
-220711143.45466539,-373878524.9903751,0.1
-220711143.45466539,373878524.9903751,0.1
267519938.87448341,1431912.4642984543,0.1
267519938.87448341,-1431912.4642984543,0.1
-267519938.87448341,-1431912.4642984543,0.1
-267519938.87448341,1431912.4642984543,0.1
7081686.6234575147,47057012.861385554,0.1
7081686.6234575147,-47057012.861385554,0.1
-7081686.6234575147,-47057012.861385554,0.1
-7081686.6234575147,47057012.861385554,0.1
216902840.22012991,150941588.53848866,0.1
216902840.22012991,-150941588.53848866,0.1
-216902840.22012991,-150941588.53848866,0.1
-216902840.22012991,150941588.53848866,0.1
15206074.849908836,53301588.66609177,0.1
15206074.849908836,-53301588.66609177,0.1
-15206074.849908836,-53301588.66609177,0.1
-15206074.849908836,53301588.66609177,0.1
325490010.81174564,228562769.29444715,0.1
325490010.81174564,-228562769.29444715,0.1
-325490010.81174564,-228562769.29444715,0.1
-325490010.81174564,228562769.29444715,0.1
338169294.94763941,12600359.317114243,0.1
338169294.94763941,-12600359.317114243,0.1
-338169294.94763941,-12600359.317114243,0.1
-338169294.94763941,12600359.317114243,0.1
339110116.91827565,103429366.30574934,0.1
339110116.91827565,-103429366.30574934,0.1
-339110116.91827565,-103429366.30574934,0.1
-339110116.91827565,103429366.30574934,0.1
184983035.1737417,122724490.54694878,0.1
184983035.1737417,-122724490.54694878,0.1
