sigma_x,sigma_y,tau_xy
0.0,0.0,0.0
3027648514.0733318,2146464824.7089512,0.1
3027648514.0733318,-2146464824.7089512,0.1
-3027648514.0733318,-2146464824.7089512,0.1
-3027648514.0733318,2146464824.7089512,0.1
21361203.399384841,203753239.34603843,0.1
21361203.399384841,-203753239.34603843,0.1
-21361203.399384841,-203753239.34603843,0.1
-21361203.399384841,203753239.34603843,0.1
1417600648.6194944,2512298906.1596322,0.1
1417600648.6194944,-2512298906.1596322,0.1
-1417600648.6194944,-2512298906.1596322,0.1
-1417600648.6194944,2512298906.1596322,0.1
35074122.761410333,758428818.45817447,0.1
35074122.761410333,-758428818.45817447,0.1
-35074122.761410333,-758428818.45817447,0.1
-35074122.761410333,758428818.45817447,0.1
1467550364.1578062,469552618.20718163,0.1
1467550364.1578062,-469552618.20718163,0.1
-1467550364.1578062,-469552618.20718163,0.1
-1467550364.1578062,469552618.20718163,0.1
1178698008.642025,1815261504.6615169,0.1
1178698008.642025,-1815261504.6615169,0.1
-1178698008.642025,-1815261504.6615169,0.1
-1178698008.642025,1815261504.6615169,0.1
1468096655.27582,2770598954.090961,0.1
1468096655.27582,-2770598954.090961,0.1
-1468096655.27582,-2770598954.090961,0.1
-1468096655.27582,2770598954.090961,0.1
1327586643.9029722,1131605282.8438532,0.1
1327586643.9029722,-1131605282.8438532,0.1
-1327586643.9029722,-1131605282.8438532,0.1
-1327586643.9029722,1131605282.8438532,0.1
2268227821.6075349,1079638524.751267,0.1
2268227821.6075349,-1079638524.751267,0.1
-2268227821.6075349,-1079638524.751267,0.1
-2268227821.6075349,1079638524.751267,0.1
2326822946.7747221,694727256.59243309,0.1
2326822946.7747221,-694727256.59243309,0.1
-2326822946.7747221,-694727256.59243309,0.1
-2326822946.7747221,694727256.59243309,0.1
1139997693.4460561,651400937.2353636,0.1
1139997693.4460561,-651400937.2353636,0.1
-1139997693.4460561,-651400937.2353636,0.1
-1139997693.4460561,651400937.2353636,0.1
2997595263.4205685,2598892497.0546432,0.1
2997595263.4205685,-2598892497.0546432,0.1
-2997595263.4205685,-2598892497.0546432,0.1
-2997595263.4205685,2598892497.0546432,0.1
3118293528.5390658,2329019805.9036274,0.1
3118293528.5390658,-2329019805.9036274,0.1
-3118293528.5390658,-2329019805.9036274,0.1
-3118293528.5390658,2329019805.9036274,0.1
2478110076.8604598,1426957707.1237051,0.1
2478110076.8604598,-1426957707.1237051,0.1
-2478110076.8604598,-1426957707.1237051,0.1
-2478110076.8604598,1426957707.1237051,0.1
210980398.47129267,2787844495.6464906,0.1
210980398.47129267,-2787844495.6464906,0.1
-210980398.47129267,-2787844495.6464906,0.1
-210980398.47129267,2787844495.6464906,0.1
2806755401.7045097,360773733.9127351,0.1
2806755401.7045097,-360773733.9127351,0.1
-2806755401.7045097,-360773733.9127351,0.1
-2806755401.7045097,360773733.9127351,0.1
291018825.13341534,3142462908.9878254,0.1
291018825.13341534,-3142462908.9878254,0.1
-291018825.13341534,-3142462908.9878254,0.1
-291018825.13341534,3142462908.9878254,0.1
2182823018.0143409,2899000911.6216583,0.1
2182823018.0143409,-2899000911.6216583,0.1
-2182823018.0143409,-2899000911.6216583,0.1
-2182823018.0143409,2899000911.6216583,0.1
1292197370.7558148,1463177983.0082178,0.1
1292197370.7558148,-1463177983.0082178,0.1
-1292197370.7558148,-1463177983.0082178,0.1
-1292197370.7558148,1463177983.0082178,0.1
3121813131.2777009,1193905765.8336163,0.1
3121813131.2777009,-1193905765.8336163,0.1
-3121813131.2777009,-1193905765.8336163,0.1
-3121813131.2777009,1193905765.8336163,0.1
2083038862.2916234,2983286545.5370879,0.1
2083038862.2916234,-2983286545.5370879,0.1
-2083038862.2916234,-2983286545.5370879,0.1
-2083038862.2916234,2983286545.5370879,0.1
1135178826.7031331,1148356978.412662,0.1
1135178826.7031331,-1148356978.412662,0.1
-1135178826.7031331,-1148356978.412662,0.1
-1135178826.7031331,1148356978.412662,0.1
1887452457.4128702,1383416067.7658455,0.1
1887452457.4128702,-1383416067.7658455,0.1
-1887452457.4128702,-1383416067.7658455,0.1
-1887452457.4128702,1383416067.7658455,0.1
1169223196.7786891,1884943234.6697621,0.1
1169223196.7786891,-1884943234.6697621,0.1
-1169223196.7786891,-1884943234.6697621,0.1
-1169223196.7786891,1884943234.6697621,0.1
2128511485.5459769,696185831.49305749,0.1
2128511485.5459769,-696185831.49305749,0.1
-2128511485.5459769,-696185831.49305749,0.1
-2128511485.5459769,696185831.49305749,0.1
1667538176.275213,2335718380.6656752,0.1
1667538176.275213,-2335718380.6656752,0.1
-1667538176.275213,-2335718380.6656752,0.1
-1667538176.275213,2335718380.6656752,0.1
3067674706.1360502,2089210762.395848,0.1
3067674706.1360502,-2089210762.395848,0.1
