sigma_x,sigma_y,tau_xy
0.0,0.0,0.0
2600353914.3495278,2735750619.0643086,0.1
2600353914.3495278,-2735750619.0643086,0.1
-2600353914.3495278,-2735750619.0643086,0.1
-2600353914.3495278,2735750619.0643086,0.1
431023275.23721373,335568940.81627625,0.1
431023275.23721373,-335568940.81627625,0.1
-431023275.23721373,-335568940.81627625,0.1
-431023275.23721373,335568940.81627625,0.1
1633112232.875124,1731509871.3987651,0.1
1633112232.875124,-1731509871.3987651,0.1
-1633112232.875124,-1731509871.3987651,0.1
-1633112232.875124,1731509871.3987651,0.1
1358538074.6234694,936092190.44272327,0.1
1358538074.6234694,-936092190.44272327,0.1
-1358538074.6234694,-936092190.44272327,0.1
-1358538074.6234694,936092190.44272327,0.1
1556476704.3177185,1722024621.4479144,0.1
1556476704.3177185,-1722024621.4479144,0.1
-1556476704.3177185,-1722024621.4479144,0.1
-1556476704.3177185,1722024621.4479144,0.1
2133881412.3320191,2663418241.2236333,0.1
2133881412.3320191,-2663418241.2236333,0.1
-2133881412.3320191,-2663418241.2236333,0.1
-2133881412.3320191,2663418241.2236333,0.1
2296350034.4105806,966902411.42432833,0.1
2296350034.4105806,-966902411.42432833,0.1
-2296350034.4105806,-966902411.42432833,0.1
-2296350034.4105806,966902411.42432833,0.1
531937258.22463036,520464427.73708147,0.1
531937258.22463036,-520464427.73708147,0.1
-531937258.22463036,-520464427.73708147,0.1
-531937258.22463036,520464427.73708147,0.1
572125365.00089896,547069116.04448962,0.1
572125365.00089896,-547069116.04448962,0.1
-572125365.00089896,-547069116.04448962,0.1
-572125365.00089896,547069116.04448962,0.1
2371682922.7611418,2094389164.2469897,0.1
2371682922.7611418,-2094389164.2469897,0.1
-2371682922.7611418,-2094389164.2469897,0.1
-2371682922.7611418,2094389164.2469897,0.1
243175703.6681352,483724382.33205187,0.1
243175703.6681352,-483724382.33205187,0.1
-243175703.6681352,-483724382.33205187,0.1
-243175703.6681352,483724382.33205187,0.1
429888764.25685346,2345940031.3674774,0.1
429888764.25685346,-2345940031.3674774,0.1
-429888764.25685346,-2345940031.3674774,0.1
-429888764.25685346,2345940031.3674774,0.1
2425004287.8576212,625510583.3069303,0.1
2425004287.8576212,-625510583.3069303,0.1
-2425004287.8576212,-625510583.3069303,0.1
-2425004287.8576212,625510583.3069303,0.1
1652923285.8675759,149077522.24773151,0.1
1652923285.8675759,-149077522.24773151,0.1
-1652923285.8675759,-149077522.24773151,0.1
-1652923285.8675759,149077522.24773151,0.1
2590744047.1054168,1439270466.5115387,0.1
2590744047.1054168,-1439270466.5115387,0.1
-2590744047.1054168,-1439270466.5115387,0.1
-2590744047.1054168,1439270466.5115387,0.1
1427611438.4070415,1363956698.1591768,0.1
1427611438.4070415,-1363956698.1591768,0.1
-1427611438.4070415,-1363956698.1591768,0.1
-1427611438.4070415,1363956698.1591768,0.1
1163255725.0447721,2343381046.9627395,0.1
1163255725.0447721,-2343381046.9627395,0.1
-1163255725.0447721,-2343381046.9627395,0.1
-1163255725.0447721,2343381046.9627395,0.1
1738401976.4770768,842635032.41155922,0.1
1738401976.4770768,-842635032.41155922,0.1
-1738401976.4770768,-842635032.41155922,0.1
-1738401976.4770768,842635032.41155922,0.1
282768386.10036427,2284904125.1552577,0.1
282768386.10036427,-2284904125.1552577,0.1
-282768386.10036427,-2284904125.1552577,0.1
-282768386.10036427,2284904125.1552577,0.1
1012778416.4890989,1367991949.2626648,0.1
1012778416.4890989,-1367991949.2626648,0.1
-1012778416.4890989,-1367991949.2626648,0.1
-1012778416.4890989,1367991949.2626648,0.1
2494640032.3930597,2191347567.1125875,0.1
2494640032.3930597,-2191347567.1125875,0.1
-2494640032.3930597,-2191347567.1125875,0.1
-2494640032.3930597,2191347567.1125875,0.1
364012968.64666593,364753040.86079562,0.1
364012968.64666593,-364753040.86079562,0.1
-364012968.64666593,-364753040.86079562,0.1
-364012968.64666593,364753040.86079562,0.1
2513068022.7067218,764158343.25469863,0.1
2513068022.7067218,-764158343.25469863,0.1
-2513068022.7067218,-764158343.25469863,0.1
-2513068022.7067218,764158343.25469863,0.1
1003365573.5102463,1597952573.4658349,0.1
1003365573.5102463,-1597952573.4658349,0.1
-1003365573.5102463,-1597952573.4658349,0.1
-1003365573.5102463,1597952573.4658349,0.1
1389738986.6259604,736630696.35646892,0.1
1389738986.6259604,-736630696.35646892,0.1
-1389738986.6259604,-736630696.35646892,0.1
-1389738986.6259604,736630696.35646892,0.1
2743226134.7462897,943901562.09179342,0.1
2743226134.7462897,-943901562.09179342,0.1
-2743226134.7462897,-943901562.09179342,0.1
-2743226134.7462897,943901562.09179342,0.1
1048533496.4505917,2283841563.7061605,0.1
1048533496.4505917,-2283841563.7061605,0.1
-1048533496.4505917,-2283841563.7061605,0.1
-1048533496.4505917,2283841563.7061605,0.1
1529665133.8671615,1073190988.3778094,0.1
1529665133.8671615,-1073190988.3778094,0.1
-1529665133.8671615,-1073190988.3778094,0.1
-1529665133.8671615,1073190988.3778094,0.1
1953797588.1944842,2245319068.7575426,0.1
1953797588.1944842,-2245319068.7575426,0.1
-1953797588.1944842,-2245319068.7575426,0.1
-1953797588.1944842,2245319068.7575426,0.1
1967746661.8764007,2906428410.6285548,0.1
1967746661.8764007,-2906428410.6285548,0.1
-1967746661.8764007,-2906428410.6285548,0.1
-1967746661.8764007,2906428410.6285548,0.1
21145201.546484489,365278878.24627614,0.1
21145201.546484489,-365278878.24627614,0.1
-21145201.546484489,-365278878.24627614,0.1
-21145201.546484489,365278878.24627614,0.1
1605119026.7613652,2388512354.3411908,0.1
1605119026.7613652,-2388512354.3411908,0.1
-1605119026.7613652,-2388512354.3411908,0.1
-1605119026.7613652,2388512354.3411908,0.1
1589728670.5374963,605611294.36784351,0.1
1589728670.5374963,-605611294.36784351,0.1
-1589728670.5374963,-605611294.36784351,0.1
-1589728670.5374963,605611294.36784351,0.1
2828449287.4822106,2415916115.0333681,0.1
2828449287.4822106,-2415916115.0333681,0.1
-2828449287.4822106,-2415916115.0333681,0.1
-2828449287.4822106,2415916115.0333681,0.1
718314087.44277203,1394281958.3928607,0.1
718314087.44277203,-1394281958.3928607,0.1
-718314087.44277203,-1394281958.3928607,0.1
-718314087.44277203,1394281958.3928607,0.1
206448574.67926171,1384372075.6459332,0.1
206448574.67926171,-1384372075.6459332,0.1
-206448574.67926171,-1384372075.6459332,0.1
-206448574.67926171,1384372075.6459332,0.1
1009056569.6881826,2447149394.6480751,0.1
1009056569.6881826,-2447149394.6480751,0.1
-1009056569.6881826,-2447149394.6480751,0.1
-1009056569.6881826,2447149394.6480751,0.1
515187388.91973293,1941326414.692189,0.1
515187388.91973293,-1941326414.692189,0.1
-515187388.91973293,-1941326414.692189,0.1
-515187388.91973293,1941326414.692189,0.1
1896040384.4708853,46282247.190082595,0.1
1896040384.4708853,-46282247.190082595,0.1
-1896040384.4708853,-46282247.190082595,0.1
-1896040384.4708853,46282247.190082595,0.1
2534792383.9717584,115265140.12551649,0.1
2534792383.9717584,-115265140.12551649,0.1
-2534792383.9717584,-115265140.12551649,0.1
-2534792383.9717584,115265140.12551649,0.1
1995542566.9987686,2578652436.7751288,0.1
1995542566.9987686,-2578652436.7751288,0.1
-1995542566.9987686,-2578652436.7751288,0.1
-1995542566.9987686,2578652436.7751288,0.1
2216891651.726481,2518062910.5927958,0.1
2216891651.726481,-2518062910.5927958,0.1
-2216891651.726481,-2518062910.5927958,0.1
-2216891651.726481,2518062910.5927958,0.1
1971636904.7703075,1811595537.1912348,0.1
1971636904.7703075,-1811595537.1912348,0.1
-1971636904.7703075,-1811595537.1912348,0.1
-1971636904.7703075,1811595537.1912348,0.1
910433670.41607499,2258120284.2605457,0.1
910433670.41607499,-2258120284.2605457,0.1
-910433670.41607499,-2258120284.2605457,0.1
-910433670.41607499,2258120284.2605457,0.1
397910630.67267191,479954141.53141379,0.1
397910630.67267191,-479954141.53141379,0.1
-397910630.67267191,-479954141.53141379,0.1
-397910630.67267191,479954141.53141379,0.1
2319004348.5666475,2558832712.632937,0.1
2319004348.5666475,-2558832712.632937,0.1
-2319004348.5666475,-2558832712.632937,0.1
-2319004348.5666475,2558832712.632937,0.1
739843022.66795254,681092859.88554025,0.1
739843022.66795254,-681092859.88554025,0.1
-739843022.66795254,-681092859.88554025,0.1
-739843022.66795254,681092859.88554025,0.1
1328565370.2983184,1490875288.878196,0.1
1328565370.2983184,-1490875288.878196,0.1
-1328565370.2983184,-1490875288.878196,0.1
-1328565370.2983184,1490875288.878196,0.1
2130692299.396476,589265068.33709645,0.1
2130692299.396476,-589265068.33709645,0.1
-2130692299.396476,-589265068.33709645,0.1
-2130692299.396476,589265068.33709645,0.1
2831679065.5799403,2368437666.5923452,0.1
2831679065.5799403,-2368437666.5923452,0.1
-2831679065.5799403,-2368437666.5923452,0.1
-2831679065.5799403,2368437666.5923452,0.1
985929088.44521224,2529890367.6466155,0.1
985929088.44521224,-2529890367.6466155,0.1
-985929088.44521224,-2529890367.6466155,0.1
-985929088.44521224,2529890367.6466155,0.1
1416376028.7676783,2761352649.8042178,0.1
1416376028.7676783,-2761352649.8042178,0.1
-1416376028.7676783,-2761352649.8042178,0.1
-1416376028.7676783,2761352649.8042178,0.1
2346797844.0285254,1776268078.6924589,0.1
2346797844.0285254,-1776268078.6924589,0.1
-2346797844.0285254,-1776268078.6924589,0.1
-2346797844.0285254,1776268078.6924589,0.1
1132128014.5386705,554261243.78585386,0.1
1132128014.5386705,-554261243.78585386,0.1
-1132128014.5386705,-554261243.78585386,0.1
-1132128014.5386705,554261243.78585386,0.1
2473370093.2200394,2395953695.1238384,0.1
2473370093.2200394,-2395953695.1238384,0.1
-2473370093.2200394,-2395953695.1238384,0.1
-2473370093.2200394,2395953695.1238384,0.1
