sigma_x,sigma_y,tau_xy
0.0,0.0,0.0
3196268101.9944615,992706432.72724807,0.1
3196268101.9944615,-992706432.72724807,0.1
-3196268101.9944615,-992706432.72724807,0.1
-3196268101.9944615,992706432.72724807,0.1
610638154.19158673,3226114983.5768976,0.1
610638154.19158673,-3226114983.5768976,0.1
-610638154.19158673,-3226114983.5768976,0.1
-610638154.19158673,3226114983.5768976,0.1
3245594079.5575981,386465098.95782727,0.1
3245594079.5575981,-386465098.95782727,0.1
-3245594079.5575981,-386465098.95782727,0.1
-3245594079.5575981,386465098.95782727,0.1
3128125099.8985076,960001127.77087677,0.1
3128125099.8985076,-960001127.77087677,0.1
-3128125099.8985076,-960001127.77087677,0.1
-3128125099.8985076,960001127.77087677,0.1
2054276423.4294264,984183356.8416388,0.1
2054276423.4294264,-984183356.8416388,0.1
-2054276423.4294264,-984183356.8416388,0.1
-2054276423.4294264,984183356.8416388,0.1
926510358.64063632,895511548.39798331,0.1
926510358.64063632,-895511548.39798331,0.1
-926510358.64063632,-895511548.39798331,0.1
-926510358.64063632,895511548.39798331,0.1
687908377.67871249,2729337168.904592,0.1
687908377.67871249,-2729337168.904592,0.1
-687908377.67871249,-2729337168.904592,0.1
-687908377.67871249,2729337168.904592,0.1
185952929.29026869,1220188298.9895041,0.1
185952929.29026869,-1220188298.9895041,0.1
-185952929.29026869,-1220188298.9895041,0.1
-185952929.29026869,1220188298.9895041,0.1
2601592404.6773992,766093477.90551186,0.1
2601592404.6773992,-766093477.90551186,0.1
-2601592404.6773992,-766093477.90551186,0.1
-2601592404.6773992,766093477.90551186,0.1
180562678.95223302,2304281779.1048942,0.1
180562678.95223302,-2304281779.1048942,0.1
-180562678.95223302,-2304281779.1048942,0.1
-180562678.95223302,2304281779.1048942,0.1
1952843770.1812308,2196439803.9324932,0.1
1952843770.1812308,-2196439803.9324932,0.1
-1952843770.1812308,-2196439803.9324932,0.1
-1952843770.1812308,2196439803.9324932,0.1
2939058159.0330253,1758751320.8899763,0.1
2939058159.0330253,-1758751320.8899763,0.1
-2939058159.0330253,-1758751320.8899763,0.1
-2939058159.0330253,1758751320.8899763,0.1
488567767.61929178,1802039413.5804334,0.1
488567767.61929178,-1802039413.5804334,0.1
-488567767.61929178,-1802039413.5804334,0.1
-488567767.61929178,1802039413.5804334,0.1
2584763978.1939054,978463777.85701096,0.1
2584763978.1939054,-978463777.85701096,0.1
-2584763978.1939054,-978463777.85701096,0.1
-2584763978.1939054,978463777.85701096,0.1
1898036224.532778,1186307963.9746003,0.1
1898036224.532778,-1186307963.9746003,0.1
-1898036224.532778,-1186307963.9746003,0.1
-1898036224.532778,1186307963.9746003,0.1
1039958973.3282787,3302073664.064558,0.1
1039958973.3282787,-3302073664.064558,0.1
-1039958973.3282787,-3302073664.064558,0.1
-1039958973.3282787,3302073664.064558,0.1
1982498452.3884897,3297479784.4370317,0.1
1982498452.3884897,-3297479784.4370317,0.1
-1982498452.3884897,-3297479784.4370317,0.1
-1982498452.3884897,3297479784.4370317,0.1
2282702355.4220252,632892913.79376805,0.1
2282702355.4220252,-632892913.79376805,0.1
-2282702355.4220252,-632892913.79376805,0.1
-2282702355.4220252,632892913.79376805,0.1
487544681.40604246,1326376016.486304,0.1
487544681.40604246,-1326376016.486304,0.1
-487544681.40604246,-1326376016.486304,0.1
-487544681.40604246,1326376016.486304,0.1
3289743706.0746431,1771007682.5215812,0.1
3289743706.0746431,-1771007682.5215812,0.1
-3289743706.0746431,-1771007682.5215812,0.1
-3289743706.0746431,1771007682.5215812,0.1
2663552242.8029857,1903866756.3976655,0.1
2663552242.8029857,-1903866756.3976655,0.1
-2663552242.8029857,-1903866756.3976655,0.1
-2663552242.8029857,1903866756.3976655,0.1
1542602202.6149592,2327309242.6938906,0.1
1542602202.6149592,-2327309242.6938906,0.1
-1542602202.6149592,-2327309242.6938906,0.1
-1542602202.6149592,2327309242.6938906,0.1
1585058740.7774992,2984636670.9558344,0.1
1585058740.7774992,-2984636670.9558344,0.1
-1585058740.7774992,-2984636670.9558344,0.1
-1585058740.7774992,2984636670.9558344,0.1
1515940012.7775221,3116355641.8736215,0.1
1515940012.7775221,-3116355641.8736215,0.1
-1515940012.7775221,-3116355641.8736215,0.1
-1515940012.7775221,3116355641.8736215,0.1
117076591.36801971,420183246.98885643,0.1
117076591.36801971,-420183246.98885643,0.1
-117076591.36801971,-420183246.98885643,0.1
-117076591.36801971,420183246.98885643,0.1
1331767680.2025366,102724794.69543557,0.1
1331767680.2025366,-102724794.69543557,0.1
-1331767680.2025366,-102724794.69543557,0.1
-1331767680.2025366,102724794.69543557,0.1
1282358376.4863901,982962474.6155448,0.1
1282358376.4863901,-982962474.6155448,0.1
-1282358376.4863901,-982962474.6155448,0.1
-1282358376.4863901,982962474.6155448,0.1
2547440504.79143,270491909.41195744,0.1
2547440504.79143,-270491909.41195744,0.1
-2547440504.79143,-270491909.41195744,0.1
-2547440504.79143,270491909.41195744,0.1
2678810302.9444351,3277656165.0727601,0.1
2678810302.9444351,-3277656165.0727601,0.1
-2678810302.9444351,-3277656165.0727601,0.1
-2678810302.9444351,3277656165.0727601,0.1
52172457.971204832,26508470.111581892,0.1
52172457.971204832,-26508470.111581892,0.1
-52172457.971204832,-26508470.111581892,0.1
-52172457.971204832,26508470.111581892,0.1
1520503836.1684237,573279798.23777187,0.1
1520503836.1684237,-573279798.23777187,0.1
-1520503836.1684237,-573279798.23777187,0.1
-1520503836.1684237,573279798.23777187,0.1
1680428093.8067231,1089252760.3807936,0.1
1680428093.8067231,-1089252760.3807936,0.1
-1680428093.8067231,-1089252760.3807936,0.1
-1680428093.8067231,1089252760.3807936,0.1
1701350380.5931687,275655114.17573869,0.1
1701350380.5931687,-275655114.17573869,0.1
-1701350380.5931687,-275655114.17573869,0.1
-1701350380.5931687,275655114.17573869,0.1
2042400486.7133577,1699471256.4301581,0.1
2042400486.7133577,-1699471256.4301581,0.1
-2042400486.7133577,-1699471256.4301581,0.1
-2042400486.7133577,1699471256.4301581,0.1
398269207.4021669,1753878811.8001814,0.1
398269207.4021669,-1753878811.8001814,0.1
-398269207.4021669,-1753878811.8001814,0.1
-398269207.4021669,1753878811.8001814,0.1
347460940.77270991,537704044.02694666,0.1
347460940.77270991,-537704044.02694666,0.1
-347460940.77270991,-537704044.02694666,0.1
-347460940.77270991,537704044.02694666,0.1
455384248.61557895,1166566745.8088391,0.1
455384248.61557895,-1166566745.8088391,0.1
-455384248.61557895,-1166566745.8088391,0.1
-455384248.61557895,1166566745.8088391,0.1
1259455865.7492764,2278356000.731112,0.1
1259455865.7492764,-2278356000.731112,0.1
-1259455865.7492764,-2278356000.731112,0.1
-1259455865.7492764,2278356000.731112,0.1
1403956657.4021552,1956745032.1291814,0.1
1403956657.4021552,-1956745032.1291814,0.1
-1403956657.4021552,-1956745032.1291814,0.1
-1403956657.4021552,1956745032.1291814,0.1
2513362392.9208736,1666816675.2958555,0.1
2513362392.9208736,-1666816675.2958555,0.1
-2513362392.9208736,-1666816675.2958555,0.1
-2513362392.9208736,1666816675.2958555,0.1
1893572788.6553822,676102313.30944073,0.1
1893572788.6553822,-676102313.30944073,0.1
-1893572788.6553822,-676102313.30944073,0.1
-1893572788.6553822,676102313.30944073,0.1
587857042.64953387,44329547.745597899,0.1
587857042.64953387,-44329547.745597899,0.1
-587857042.64953387,-44329547.745597899,0.1
-587857042.64953387,44329547.745597899,0.1
