sigma_x,sigma_y,tau_xy
0.0,0.0,0.0
4271425878.9018736,4152904639.2054887,0.1
4271425878.9018736,-4152904639.2054887,0.1
-4271425878.9018736,-4152904639.2054887,0.1
-4271425878.9018736,4152904639.2054887,0.1
2765188123.6747751,492461700.73795944,0.1
2765188123.6747751,-492461700.73795944,0.1
-2765188123.6747751,-492461700.73795944,0.1
-2765188123.6747751,492461700.73795944,0.1
714171070.51827419,3098842458.535789,0.1
714171070.51827419,-3098842458.535789,0.1
-714171070.51827419,-3098842458.535789,0.1
-714171070.51827419,3098842458.535789,0.1
2119476345.695358,1214360036.7533264,0.1
2119476345.695358,-1214360036.7533264,0.1
-2119476345.695358,-1214360036.7533264,0.1
-2119476345.695358,1214360036.7533264,0.1
552865772.51382709,171961160.3095412,0.1
552865772.51382709,-171961160.3095412,0.1
-552865772.51382709,-171961160.3095412,0.1
-552865772.51382709,171961160.3095412,0.1
3874293571.1053057,3878893369.8718104,0.1
3874293571.1053057,-3878893369.8718104,0.1
-3874293571.1053057,-3878893369.8718104,0.1
-3874293571.1053057,3878893369.8718104,0.1
1276655496.3608756,1345145.3140255855,0.1
1276655496.3608756,-1345145.3140255855,0.1
-1276655496.3608756,-1345145.3140255855,0.1
-1276655496.3608756,1345145.3140255855,0.1
1130585735.2835693,1553941563.4721994,0.1
1130585735.2835693,-1553941563.4721994,0.1
-1130585735.2835693,-1553941563.4721994,0.1
-1130585735.2835693,1553941563.4721994,0.1
54810896.284524642,578033901.39674377,0.1
54810896.284524642,-578033901.39674377,0.1
-54810896.284524642,-578033901.39674377,0.1
-54810896.284524642,578033901.39674377,0.1
1020402930.9859844,267778852.99200547,0.1
1020402930.9859844,-267778852.99200547,0.1
-1020402930.9859844,-267778852.99200547,0.1
-1020402930.9859844,267778852.99200547,0.1
4220856995.7658224,1746924591.4843621,0.1
4220856995.7658224,-1746924591.4843621,0.1
-4220856995.7658224,-1746924591.4843621,0.1
-4220856995.7658224,1746924591.4843621,0.1
2258702589.4106183,1257242756.5812938,0.1
2258702589.4106183,-1257242756.5812938,0.1
-2258702589.4106183,-1257242756.5812938,0.1
-2258702589.4106183,1257242756.5812938,0.1
195037625.49938151,2386402734.0428948,0.1
195037625.49938151,-2386402734.0428948,0.1
-195037625.49938151,-2386402734.0428948,0.1
-195037625.49938151,2386402734.0428948,0.1
658145205.84441602,1851180107.0101221,0.1
658145205.84441602,-1851180107.0101221,0.1
-658145205.84441602,-1851180107.0101221,0.1
-658145205.84441602,1851180107.0101221,0.1
2585596030.8492794,4208962910.0786448,0.1
2585596030.8492794,-4208962910.0786448,0.1
-2585596030.8492794,-4208962910.0786448,0.1
-2585596030.8492794,4208962910.0786448,0.1
2198980156.3317132,3785224744.6233487,0.1
2198980156.3317132,-3785224744.6233487,0.1
-2198980156.3317132,-3785224744.6233487,0.1
-2198980156.3317132,3785224744.6233487,0.1
2234565698.787396,2337422605.1085534,0.1
2234565698.787396,-2337422605.1085534,0.1
-2234565698.787396,-2337422605.1085534,0.1
-2234565698.787396,2337422605.1085534,0.1
2700234246.4458933,3173920345.6128407,0.1
2700234246.4458933,-3173920345.6128407,0.1
-2700234246.4458933,-3173920345.6128407,0.1
-2700234246.4458933,3173920345.6128407,0.1
3866694268.2539277,1592765462.665431,0.1
3866694268.2539277,-1592765462.665431,0.1
-3866694268.2539277,-1592765462.665431,0.1
-3866694268.2539277,1592765462.665431,0.1
2625746193.4360561,162213737.86607155,0.1
2625746193.4360561,-162213737.86607155,0.1
-2625746193.4360561,-162213737.86607155,0.1
-2625746193.4360561,162213737.86607155,0.1
1843648250.2671306,3109674339.334187,0.1
1843648250.2671306,-3109674339.334187,0.1
-1843648250.2671306,-3109674339.334187,0.1
-1843648250.2671306,3109674339.334187,0.1
3772604967.2401419,1957916838.1883075,0.1
3772604967.2401419,-1957916838.1883075,0.1
-3772604967.2401419,-1957916838.1883075,0.1
-3772604967.2401419,1957916838.1883075,0.1
1436559343.0652871,2290659997.949595,0.1
1436559343.0652871,-2290659997.949595,0.1
-1436559343.0652871,-2290659997.949595,0.1
-1436559343.0652871,2290659997.949595,0.1
1458248847.6848435,1586807598.6708128,0.1
1458248847.6848435,-1586807598.6708128,0.1
-1458248847.6848435,-1586807598.6708128,0.1
-1458248847.6848435,1586807598.6708128,0.1
2563471219.0366583,2961455613.7800083,0.1
2563471219.0366583,-2961455613.7800083,0.1
-2563471219.0366583,-2961455613.7800083,0.1
-2563471219.0366583,2961455613.7800083,0.1
3324123334.8962512,703954778.79553676,0.1
3324123334.8962512,-703954778.79553676,0.1
-3324123334.8962512,-703954778.79553676,0.1
-3324123334.8962512,703954778.79553676,0.1
2406313394.6673193,2531874959.7675929,0.1
2406313394.6673193,-2531874959.7675929,0.1
-2406313394.6673193,-2531874959.7675929,0.1
-2406313394.6673193,2531874959.7675929,0.1
1828276702.638418,2222335021.695261,0.1
1828276702.638418,-2222335021.695261,0.1
-1828276702.638418,-2222335021.695261,0.1
-1828276702.638418,2222335021.695261,0.1
2966418449.3669562,1724013083.7192874,0.1
2966418449.3669562,-1724013083.7192874,0.1
-2966418449.3669562,-1724013083.7192874,0.1
-2966418449.3669562,1724013083.7192874,0.1
1904424208.5187669,727279865.81337571,0.1
1904424208.5187669,-727279865.81337571,0.1
-1904424208.5187669,-727279865.81337571,0.1
-1904424208.5187669,727279865.81337571,0.1
1340116644.3577979,2506112273.5126896,0.1
1340116644.3577979,-2506112273.5126896,0.1
-1340116644.3577979,-2506112273.5126896,0.1
-1340116644.3577979,2506112273.5126896,0.1
2317561515.3033519,2127685328.6410663,0.1
2317561515.3033519,-2127685328.6410663,0.1
-2317561515.3033519,-2127685328.6410663,0.1
-2317561515.3033519,2127685328.6410663,0.1
2749377192.4698625,1787653360.0158293,0.1
2749377192.4698625,-1787653360.0158293,0.1
-2749377192.4698625,-1787653360.0158293,0.1
-2749377192.4698625,1787653360.0158293,0.1
3225997438.0292764,2808223059.5636144,0.1
3225997438.0292764,-2808223059.5636144,0.1
-3225997438.0292764,-2808223059.5636144,0.1
-3225997438.0292764,2808223059.5636144,0.1
1527652164.715446,2021511267.643131,0.1
1527652164.715446,-2021511267.643131,0.1
-1527652164.715446,-2021511267.643131,0.1
-1527652164.715446,2021511267.643131,0.1
100553383.54780385,2519804186.6547952,0.1
100553383.54780385,-2519804186.6547952,0.1
-100553383.54780385,-2519804186.6547952,0.1
-100553383.54780385,2519804186.6547952,0.1
3760381046.0685182,3440943793.8414426,0.1
3760381046.0685182,-3440943793.8414426,0.1
-3760381046.0685182,-3440943793.8414426,0.1
-3760381046.0685182,3440943793.8414426,0.1
991774063.20569909,3570822694.5889773,0.1
991774063.20569909,-3570822694.5889773,0.1
-991774063.20569909,-3570822694.5889773,0.1
-991774063.20569909,3570822694.5889773,0.1
1385165418.5948927,2541514701.8490901,0.1
1385165418.5948927,-2541514701.8490901,0.1
-1385165418.5948927,-2541514701.8490901,0.1
-1385165418.5948927,2541514701.8490901,0.1
3324671606.5647554,872944639.91766846,0.1
3324671606.5647554,-872944639.91766846,0.1
-3324671606.5647554,-872944639.91766846,0.1
-3324671606.5647554,872944639.91766846,0.1
1660450041.0716419,3589092694.1812367,0.1
1660450041.0716419,-3589092694.1812367,0.1
-1660450041.0716419,-3589092694.1812367,0.1
-1660450041.0716419,3589092694.1812367,0.1
2714150397.286355,2408707370.225286,0.1
2714150397.286355,-2408707370.225286,0.1
-2714150397.286355,-2408707370.225286,0.1
-2714150397.286355,2408707370.225286,0.1
1553336260.7979548,2094455913.5735531,0.1
1553336260.7979548,-2094455913.5735531,0.1
-1553336260.7979548,-2094455913.5735531,0.1
-1553336260.7979548,2094455913.5735531,0.1
1898729783.5973947,2559212491.8170099,0.1
1898729783.5973947,-2559212491.8170099,0.1
-1898729783.5973947,-2559212491.8170099,0.1
-1898729783.5973947,2559212491.8170099,0.1
392850373.15720409,2496507784.5123487,0.1
392850373.15720409,-2496507784.5123487,0.1
-392850373.15720409,-2496507784.5123487,0.1
-392850373.15720409,2496507784.5123487,0.1
1695171604.44047,1905050382.3750181,0.1
1695171604.44047,-1905050382.3750181,0.1
-1695171604.44047,-1905050382.3750181,0.1
-1695171604.44047,1905050382.3750181,0.1
3071439259.6387529,12325768.361887736,0.1
3071439259.6387529,-12325768.361887736,0.1
-3071439259.6387529,-12325768.361887736,0.1
-3071439259.6387529,12325768.361887736,0.1
676126315.71688795,3599756079.5354519,0.1
676126315.71688795,-3599756079.5354519,0.1
-676126315.71688795,-3599756079.5354519,0.1
-676126315.71688795,3599756079.5354519,0.1
419421640.74383014,2036814108.8996336,0.1
419421640.74383014,-2036814108.8996336,0.1
-419421640.74383014,-2036814108.8996336,0.1
-419421640.74383014,2036814108.8996336,0.1
3237850631.437933,3845594203.1843281,0.1
3237850631.437933,-3845594203.1843281,0.1
-3237850631.437933,-3845594203.1843281,0.1
-3237850631.437933,3845594203.1843281,0.1
3708013979.8885775,1738811933.180362,0.1
3708013979.8885775,-1738811933.180362,0.1
-3708013979.8885775,-1738811933.180362,0.1
-3708013979.8885775,1738811933.180362,0.1
3125765264.2168417,1558732053.1122835,0.1
3125765264.2168417,-1558732053.1122835,0.1
-3125765264.2168417,-1558732053.1122835,0.1
-3125765264.2168417,1558732053.1122835,0.1
1793768380.6487072,97319716.63203603,0.1
1793768380.6487072,-97319716.63203603,0.1
-1793768380.6487072,-97319716.63203603,0.1
-1793768380.6487072,97319716.63203603,0.1
3848778643.2444396,2262095076.4495854,0.1
3848778643.2444396,-2262095076.4495854,0.1
-3848778643.2444396,-2262095076.4495854,0.1
-3848778643.2444396,2262095076.4495854,0.1
2244512793.3528514,3812574357.4818301,0.1
2244512793.3528514,-3812574357.4818301,0.1
-2244512793.3528514,-3812574357.4818301,0.1
-2244512793.3528514,3812574357.4818301,0.1
2920881579.3839769,677041562.77303088,0.1
2920881579.3839769,-677041562.77303088,0.1
-2920881579.3839769,-677041562.77303088,0.1
-2920881579.3839769,677041562.77303088,0.1
2295398842.219337,447121753.31760186,0.1
2295398842.219337,-447121753.31760186,0.1
-2295398842.219337,-447121753.31760186,0.1
-2295398842.219337,447121753.31760186,0.1
1809935395.1704445,13882550.8253884,0.1
1809935395.1704445,-13882550.8253884,0.1
-1809935395.1704445,-13882550.8253884,0.1
-1809935395.1704445,13882550.8253884,0.1
3265600625.7998271,3015085246.9868865,0.1
3265600625.7998271,-3015085246.9868865,0.1
-3265600625.7998271,-3015085246.9868865,0.1
-3265600625.7998271,3015085246.9868865,0.1
2196731469.0386171,3797889941.4356661,0.1
2196731469.0386171,-3797889941.4356661,0.1
-2196731469.0386171,-3797889941.4356661,0.1
-2196731469.0386171,3797889941.4356661,0.1
1800202044.3638577,61123339.718943797,0.1
1800202044.3638577,-61123339.718943797,0.1
-1800202044.3638577,-61123339.718943797,0.1
-1800202044.3638577,61123339.718943797,0.1
3169441573.8994346,2573945959.0076785,0.1
3169441573.8994346,-2573945959.0076785,0.1
