sigma_x,sigma_y,tau_xy
0.0,0.0,0.0
1428552217.2649071,369831512.34256911,0.1
1428552217.2649071,-369831512.34256911,0.1
-1428552217.2649071,-369831512.34256911,0.1
-1428552217.2649071,369831512.34256911,0.1
1441119583.5428674,334967702.60383183,0.1
1441119583.5428674,-334967702.60383183,0.1
-1441119583.5428674,-334967702.60383183,0.1
-1441119583.5428674,334967702.60383183,0.1
1090230255.4426932,101360753.07377025,0.1
1090230255.4426932,-101360753.07377025,0.1
-1090230255.4426932,-101360753.07377025,0.1
-1090230255.4426932,101360753.07377025,0.1
1502827438.8352749,202722428.81879547,0.1
1502827438.8352749,-202722428.81879547,0.1
-1502827438.8352749,-202722428.81879547,0.1
-1502827438.8352749,202722428.81879547,0.1
353292953.44406426,978466601.84011006,0.1
353292953.44406426,-978466601.84011006,0.1
-353292953.44406426,-978466601.84011006,0.1
-353292953.44406426,978466601.84011006,0.1
1163207402.0363355,1222207382.1962473,0.1
1163207402.0363355,-1222207382.1962473,0.1
-1163207402.0363355,-1222207382.1962473,0.1
-1163207402.0363355,1222207382.1962473,0.1
686038939.60010064,226299451.43947259,0.1
686038939.60010064,-226299451.43947259,0.1
-686038939.60010064,-226299451.43947259,0.1
-686038939.60010064,226299451.43947259,0.1
1360660331.5786602,318025789.47877479,0.1
1360660331.5786602,-318025789.47877479,0.1
-1360660331.5786602,-318025789.47877479,0.1
-1360660331.5786602,318025789.47877479,0.1
653205522.73116839,479007547.53455162,0.1
653205522.73116839,-479007547.53455162,0.1
-653205522.73116839,-479007547.53455162,0.1
-653205522.73116839,479007547.53455162,0.1
317103856.89298713,125112370.5366744,0.1
317103856.89298713,-125112370.5366744,0.1
-317103856.89298713,-125112370.5366744,0.1
-317103856.89298713,125112370.5366744,0.1
894700693.01182449,805933714.65438044,0.1
894700693.01182449,-805933714.65438044,0.1
-894700693.01182449,-805933714.65438044,0.1
-894700693.01182449,805933714.65438044,0.1
1119056817.4750297,256357083.77228343,0.1
1119056817.4750297,-256357083.77228343,0.1
-1119056817.4750297,-256357083.77228343,0.1
-1119056817.4750297,256357083.77228343,0.1
179355877.91394946,300117671.92038888,0.1
179355877.91394946,-300117671.92038888,0.1
-179355877.91394946,-300117671.92038888,0.1
-179355877.91394946,300117671.92038888,0.1
1546211579.4144597,1199356148.7997098,0.1
1546211579.4144597,-1199356148.7997098,0.1
-1546211579.4144597,-1199356148.7997098,0.1
-1546211579.4144597,1199356148.7997098,0.1
589628430.14025939,2354882.9919467662,0.1
589628430.14025939,-2354882.9919467662,0.1
-589628430.14025939,-2354882.9919467662,0.1
-589628430.14025939,2354882.9919467662,0.1
1454473549.3170474,1163828753.3480895,0.1
1454473549.3170474,-1163828753.3480895,0.1
-1454473549.3170474,-1163828753.3480895,0.1
-1454473549.3170474,1163828753.3480895,0.1
387485145.3928265,1020722086.4000289,0.1
387485145.3928265,-1020722086.4000289,0.1
-387485145.3928265,-1020722086.4000289,0.1
-387485145.3928265,1020722086.4000289,0.1
101530700.77738389,303995002.32818019,0.1
101530700.77738389,-303995002.32818019,0.1
-101530700.77738389,-303995002.32818019,0.1
-101530700.77738389,303995002.32818019,0.1
711908880.10076547,510825424.05612522,0.1
711908880.10076547,-510825424.05612522,0.1
-711908880.10076547,-510825424.05612522,0.1
-711908880.10076547,510825424.05612522,0.1
1427840780.3338482,629929795.82605684,0.1
1427840780.3338482,-629929795.82605684,0.1
-1427840780.3338482,-629929795.82605684,0.1
-1427840780.3338482,629929795.82605684,0.1
429958341.20271355,1055593668.1731608,0.1
429958341.20271355,-1055593668.1731608,0.1
-429958341.20271355,-1055593668.1731608,0.1
-429958341.20271355,1055593668.1731608,0.1
651717616.98907101,15614958.181183487,0.1
651717616.98907101,-15614958.181183487,0.1
-651717616.98907101,-15614958.181183487,0.1
-651717616.98907101,15614958.181183487,0.1
470862459.27181864,1045736964.8544188,0.1
470862459.27181864,-1045736964.8544188,0.1
-470862459.27181864,-1045736964.8544188,0.1
-470862459.27181864,1045736964.8544188,0.1
1061209305.7024841,629207937.26327765,0.1
1061209305.7024841,-629207937.26327765,0.1
-1061209305.7024841,-629207937.26327765,0.1
-1061209305.7024841,629207937.26327765,0.1
170763549.91141489,1252682282.7410915,0.1
170763549.91141489,-1252682282.7410915,0.1
-170763549.91141489,-1252682282.7410915,0.1
-170763549.91141489,1252682282.7410915,0.1
1070797061.9539993,930135664.04676116,0.1
1070797061.9539993,-930135664.04676116,0.1
-1070797061.9539993,-930135664.04676116,0.1
-1070797061.9539993,930135664.04676116,0.1
1414885504.5196352,1300431613.3691936,0.1
1414885504.5196352,-1300431613.3691936,0.1
-1414885504.5196352,-1300431613.3691936,0.1
-1414885504.5196352,1300431613.3691936,0.1
746380176.2002492,289540078.62108207,0.1
746380176.2002492,-289540078.62108207,0.1
-746380176.2002492,-289540078.62108207,0.1
-746380176.2002492,289540078.62108207,0.1
534239959.5563122,359243849.65362501,0.1
534239959.5563122,-359243849.65362501,0.1
-534239959.5563122,-359243849.65362501,0.1
-534239959.5563122,359243849.65362501,0.1
968464983.42736006,1061488366.6943058,0.1
968464983.42736006,-1061488366.6943058,0.1
-968464983.42736006,-1061488366.6943058,0.1
-968464983.42736006,1061488366.6943058,0.1
1217379695.2635927,1418419114.4931419,0.1
1217379695.2635927,-1418419114.4931419,0.1
-1217379695.2635927,-1418419114.4931419,0.1
-1217379695.2635927,1418419114.4931419,0.1
789305025.32830548,1389926012.250417,0.1
789305025.32830548,-1389926012.250417,0.1
-789305025.32830548,-1389926012.250417,0.1
-789305025.32830548,1389926012.250417,0.1
1093789275.2000835,734386808.81168711,0.1
1093789275.2000835,-734386808.81168711,0.1
-1093789275.2000835,-734386808.81168711,0.1
-1093789275.2000835,734386808.81168711,0.1
720073739.32336473,778837318.0875293,0.1
720073739.32336473,-778837318.0875293,0.1
-720073739.32336473,-778837318.0875293,0.1
-720073739.32336473,778837318.0875293,0.1
351029967.12637848,382080437.55523521,0.1
351029967.12637848,-382080437.55523521,0.1
-351029967.12637848,-382080437.55523521,0.1
-351029967.12637848,382080437.55523521,0.1
762075511.68460858,358338502.24911177,0.1
762075511.68460858,-358338502.24911177,0.1
-762075511.68460858,-358338502.24911177,0.1
-762075511.68460858,358338502.24911177,0.1
600648530.09985876,1025158960.9605589,0.1
600648530.09985876,-1025158960.9605589,0.1
-600648530.09985876,-1025158960.9605589,0.1
-600648530.09985876,1025158960.9605589,0.1
943048312.04269302,200622981.22308284,0.1
943048312.04269302,-200622981.22308284,0.1
-943048312.04269302,-200622981.22308284,0.1
-943048312.04269302,200622981.22308284,0.1
403094829.62114406,738696900.33263052,0.1
403094829.62114406,-738696900.33263052,0.1
-403094829.62114406,-738696900.33263052,0.1
-403094829.62114406,738696900.33263052,0.1
1116155649.6104436,1378929300.5768371,0.1
1116155649.6104436,-1378929300.5768371,0.1
-1116155649.6104436,-1378929300.5768371,0.1
-1116155649.6104436,1378929300.5768371,0.1
