sigma_x,sigma_y,tau_xy
0.0,0.0,0.0
5715012.2332708398,759799121.95220065,0.1
5715012.2332708398,-759799121.95220065,0.1
-5715012.2332708398,-759799121.95220065,0.1
-5715012.2332708398,759799121.95220065,0.1
570018579.16871905,454860630.48081219,0.1
570018579.16871905,-454860630.48081219,0.1
-570018579.16871905,-454860630.48081219,0.1
-570018579.16871905,454860630.48081219,0.1
320835220.77920341,747950726.20634258,0.1
320835220.77920341,-747950726.20634258,0.1
-320835220.77920341,-747950726.20634258,0.1
-320835220.77920341,747950726.20634258,0.1
1037417945.986715,515798701.46921325,0.1
1037417945.986715,-515798701.46921325,0.1
-1037417945.986715,-515798701.46921325,0.1
-1037417945.986715,515798701.46921325,0.1
911186377.44172788,923629713.23627281,0.1
911186377.44172788,-923629713.23627281,0.1
-911186377.44172788,-923629713.23627281,0.1
-911186377.44172788,923629713.23627281,0.1
402030079.80559379,897694910.68501484,0.1
402030079.80559379,-897694910.68501484,0.1
-402030079.80559379,-897694910.68501484,0.1
-402030079.80559379,897694910.68501484,0.1
131633927.97440547,366128437.5276041,0.1
131633927.97440547,-366128437.5276041,0.1
-131633927.97440547,-366128437.5276041,0.1
-131633927.97440547,366128437.5276041,0.1
972896662.99648285,324927620.37293798,0.1
972896662.99648285,-324927620.37293798,0.1
-972896662.99648285,-324927620.37293798,0.1
-972896662.99648285,324927620.37293798,0.1
132397509.87366486,1016456719.4811932,0.1
132397509.87366486,-1016456719.4811932,0.1
-132397509.87366486,-1016456719.4811932,0.1
-132397509.87366486,1016456719.4811932,0.1
752700028.68618655,390159990.78674704,0.1
752700028.68618655,-390159990.78674704,0.1
-752700028.68618655,-390159990.78674704,0.1
-752700028.68618655,390159990.78674704,0.1
1081270493.2645934,446815943.74886292,0.1
1081270493.2645934,-446815943.74886292,0.1
-1081270493.2645934,-446815943.74886292,0.1
-1081270493.2645934,446815943.74886292,0.1
774996610.59933352,413189206.0732348,0.1
774996610.59933352,-413189206.0732348,0.1
-774996610.59933352,-413189206.0732348,0.1
-774996610.59933352,413189206.0732348,0.1
218588247.58405617,838348771.74401188,0.1
218588247.58405617,-838348771.74401188,0.1
-218588247.58405617,-838348771.74401188,0.1
-218588247.58405617,838348771.74401188,0.1
1060815487.3388723,323702463.70346969,0.1
1060815487.3388723,-323702463.70346969,0.1
-1060815487.3388723,-323702463.70346969,0.1
-1060815487.3388723,323702463.70346969,0.1
11169612.646144303,136180979.3503018,0.1
11169612.646144303,-136180979.3503018,0.1
-11169612.646144303,-136180979.3503018,0.1
-11169612.646144303,136180979.3503018,0.1
360577896.97624099,247409106.28579459,0.1
360577896.97624099,-247409106.28579459,0.1
-360577896.97624099,-247409106.28579459,0.1
-360577896.97624099,247409106.28579459,0.1
893225358.18248928,640227112.23430526,0.1
893225358.18248928,-640227112.23430526,0.1
-893225358.18248928,-640227112.23430526,0.1
-893225358.18248928,640227112.23430526,0.1
447404719.63955116,252486686.25135544,0.1
447404719.63955116,-252486686.25135544,0.1
-447404719.63955116,-252486686.25135544,0.1
-447404719.63955116,252486686.25135544,0.1
35041971.48179172,710014963.62589967,0.1
35041971.48179172,-710014963.62589967,0.1
-35041971.48179172,-710014963.62589967,0.1
-35041971.48179172,710014963.62589967,0.1
959767024.47988701,826403149.00924134,0.1
959767024.47988701,-826403149.00924134,0.1
-959767024.47988701,-826403149.00924134,0.1
-959767024.47988701,826403149.00924134,0.1
1054577022.231848,917183041.25049269,0.1
1054577022.231848,-917183041.25049269,0.1
-1054577022.231848,-917183041.25049269,0.1
-1054577022.231848,917183041.25049269,0.1
115743629.08902703,102089055.87570111,0.1
115743629.08902703,-102089055.87570111,0.1
-115743629.08902703,-102089055.87570111,0.1
-115743629.08902703,102089055.87570111,0.1
541126780.04386878,744622735.81055069,0.1
541126780.04386878,-744622735.81055069,0.1
-541126780.04386878,-744622735.81055069,0.1
-541126780.04386878,744622735.81055069,0.1
1076522418.8143213,71407974.788848847,0.1
1076522418.8143213,-71407974.788848847,0.1
-1076522418.8143213,-71407974.788848847,0.1
-1076522418.8143213,71407974.788848847,0.1
992257439.23961306,589359073.55147958,0.1
992257439.23961306,-589359073.55147958,0.1
-992257439.23961306,-589359073.55147958,0.1
-992257439.23961306,589359073.55147958,0.1
861973605.95453835,193776116.95247239,0.1
861973605.95453835,-193776116.95247239,0.1
-861973605.95453835,-193776116.95247239,0.1
-861973605.95453835,193776116.95247239,0.1
702121350.08720517,820404485.94741714,0.1
702121350.08720517,-820404485.94741714,0.1
-702121350.08720517,-820404485.94741714,0.1
-702121350.08720517,820404485.94741714,0.1
890003745.08340621,1130178063.3743184,0.1
890003745.08340621,-1130178063.3743184,0.1
-890003745.08340621,-1130178063.3743184,0.1
-890003745.08340621,1130178063.3743184,0.1
1060296636.9827491,585303376.30115616,0.1
1060296636.9827491,-585303376.30115616,0.1
-1060296636.9827491,-585303376.30115616,0.1
-1060296636.9827491,585303376.30115616,0.1
606722009.03700209,45962414.640825853,0.1
606722009.03700209,-45962414.640825853,0.1
-606722009.03700209,-45962414.640825853,0.1
-606722009.03700209,45962414.640825853,0.1
457521434.79617745,359821429.92264861,0.1
457521434.79617745,-359821429.92264861,0.1
-457521434.79617745,-359821429.92264861,0.1
-457521434.79617745,359821429.92264861,0.1
745287158.37563813,1072119012.674946,0.1
745287158.37563813,-1072119012.674946,0.1
-745287158.37563813,-1072119012.674946,0.1
-745287158.37563813,1072119012.674946,0.1
152776576.64087161,130364320.02785687,0.1
152776576.64087161,-130364320.02785687,0.1
-152776576.64087161,-130364320.02785687,0.1
-152776576.64087161,130364320.02785687,0.1
947203522.10294187,468848118.39921165,0.1
947203522.10294187,-468848118.39921165,0.1
-947203522.10294187,-468848118.39921165,0.1
-947203522.10294187,468848118.39921165,0.1
309649740.64593035,519238965.40652776,0.1
309649740.64593035,-519238965.40652776,0.1
-309649740.64593035,-519238965.40652776,0.1
-309649740.64593035,519238965.40652776,0.1
866456800.71936631,415579662.50255942,0.1
866456800.71936631,-415579662.50255942,0.1
-866456800.71936631,-415579662.50255942,0.1
-866456800.71936631,415579662.50255942,0.1
634874852.40822744,362717683.91412282,0.1
634874852.40822744,-362717683.91412282,0.1
-634874852.40822744,-362717683.91412282,0.1
-634874852.40822744,362717683.91412282,0.1
20471100.75965086,1101961321.8903117,0.1
20471100.75965086,-1101961321.8903117,0.1
-20471100.75965086,-1101961321.8903117,0.1
-20471100.75965086,1101961321.8903117,0.1
299786114.62283027,933929789.51168454,0.1
299786114.62283027,-933929789.51168454,0.1
-299786114.62283027,-933929789.51168454,0.1
-299786114.62283027,933929789.51168454,0.1
871283923.93371701,1074406291.4374354,0.1
871283923.93371701,-1074406291.4374354,0.1
-871283923.93371701,-1074406291.4374354,0.1
-871283923.93371701,1074406291.4374354,0.1
360624939.51620966,199885995.48782542,0.1
360624939.51620966,-199885995.48782542,0.1
-360624939.51620966,-199885995.48782542,0.1
-360624939.51620966,199885995.48782542,0.1
551069319.29137838,439086632.70418239,0.1
551069319.29137838,-439086632.70418239,0.1
-551069319.29137838,-439086632.70418239,0.1
-551069319.29137838,439086632.70418239,0.1
83863679.175367072,479050024.86195523,0.1
83863679.175367072,-479050024.86195523,0.1
-83863679.175367072,-479050024.86195523,0.1
-83863679.175367072,479050024.86195523,0.1
319637690.57630748,582849493.10491645,0.1
319637690.57630748,-582849493.10491645,0.1
-319637690.57630748,-582849493.10491645,0.1
-319637690.57630748,582849493.10491645,0.1
644573832.92706585,1025862514.5833499,0.1
644573832.92706585,-1025862514.5833499,0.1
-644573832.92706585,-1025862514.5833499,0.1
-644573832.92706585,1025862514.5833499,0.1
246617352.96584687,191891016.12311912,0.1
246617352.96584687,-191891016.12311912,0.1
-246617352.96584687,-191891016.12311912,0.1
-246617352.96584687,191891016.12311912,0.1
90974912.067227244,540611491.77932954,0.1
90974912.067227244,-540611491.77932954,0.1
-90974912.067227244,-540611491.77932954,0.1
-90974912.067227244,540611491.77932954,0.1
607399255.32501614,968723907.33419847,0.1
607399255.32501614,-968723907.33419847,0.1
-607399255.32501614,-968723907.33419847,0.1
-607399255.32501614,968723907.33419847,0.1
166562962.29808843,870292283.43461061,0.1
166562962.29808843,-870292283.43461061,0.1
-166562962.29808843,-870292283.43461061,0.1
-166562962.29808843,870292283.43461061,0.1
447934192.54499066,338286470.46479189,0.1
447934192.54499066,-338286470.46479189,0.1
-447934192.54499066,-338286470.46479189,0.1
-447934192.54499066,338286470.46479189,0.1
839464636.1444422,365775339.72342265,0.1
839464636.1444422,-365775339.72342265,0.1
-839464636.1444422,-365775339.72342265,0.1
-839464636.1444422,365775339.72342265,0.1
742895749.09718299,850619822.44191897,0.1
742895749.09718299,-850619822.44191897,0.1
-742895749.09718299,-850619822.44191897,0.1
-742895749.09718299,850619822.44191897,0.1
129065966.52714048,662591998.6727972,0.1
129065966.52714048,-662591998.6727972,0.1
-129065966.52714048,-662591998.6727972,0.1
-129065966.52714048,662591998.6727972,0.1
117818876.71283504,897977737.37406492,0.1
117818876.71283504,-897977737.37406492,0.1
-117818876.71283504,-897977737.37406492,0.1
-117818876.71283504,897977737.37406492,0.1
740061218.37264454,1113387089.2147334,0.1
740061218.37264454,-1113387089.2147334,0.1
-740061218.37264454,-1113387089.2147334,0.1
-740061218.37264454,1113387089.2147334,0.1
880480317.10049021,1071569148.1659515,0.1
880480317.10049021,-1071569148.1659515,0.1
-880480317.10049021,-1071569148.1659515,0.1
-880480317.10049021,1071569148.1659515,0.1
379493540.95354992,27861031.868562762,0.1
379493540.95354992,-27861031.868562762,0.1
-379493540.95354992,-27861031.868562762,0.1
-379493540.95354992,27861031.868562762,0.1
876873405.44280708,1033918942.0251138,0.1
876873405.44280708,-1033918942.0251138,0.1
-876873405.44280708,-1033918942.0251138,0.1
-876873405.44280708,1033918942.0251138,0.1
53831250.644591793,1099638605.461149,0.1
53831250.644591793,-1099638605.461149,0.1
-53831250.644591793,-1099638605.461149,0.1
-53831250.644591793,1099638605.461149,0.1
264626034.39518872,1058829127.6111311,0.1
264626034.39518872,-1058829127.6111311,0.1
-264626034.39518872,-1058829127.6111311,0.1
-264626034.39518872,1058829127.6111311,0.1
275914286.13947415,54593986.952196315,0.1
275914286.13947415,-54593986.952196315,0.1
-275914286.13947415,-54593986.952196315,0.1
