sigma_x,sigma_y,tau_xy
0.0,0.0,0.0
887829843.80786216,2115422248.3067727,0.1
887829843.80786216,-2115422248.3067727,0.1
-887829843.80786216,-2115422248.3067727,0.1
-887829843.80786216,2115422248.3067727,0.1
2196880042.4707932,630832741.57469046,0.1
2196880042.4707932,-630832741.57469046,0.1
-2196880042.4707932,-630832741.57469046,0.1
-2196880042.4707932,630832741.57469046,0.1
848536343.30696726,1591909902.507925,0.1
848536343.30696726,-1591909902.507925,0.1
-848536343.30696726,-1591909902.507925,0.1
-848536343.30696726,1591909902.507925,0.1
3036305505.1397119,184818844.34157008,0.1
3036305505.1397119,-184818844.34157008,0.1
-3036305505.1397119,-184818844.34157008,0.1
-3036305505.1397119,184818844.34157008,0.1
2028466875.1604128,3046252513.0614824,0.1
2028466875.1604128,-3046252513.0614824,0.1
-2028466875.1604128,-3046252513.0614824,0.1
-2028466875.1604128,3046252513.0614824,0.1
1239738471.1158302,290062734.33576578,0.1
1239738471.1158302,-290062734.33576578,0.1
-1239738471.1158302,-290062734.33576578,0.1
-1239738471.1158302,290062734.33576578,0.1
2364211298.7917829,2380488289.5483866,0.1
2364211298.7917829,-2380488289.5483866,0.1
-2364211298.7917829,-2380488289.5483866,0.1
-2364211298.7917829,2380488289.5483866,0.1
67799695.787314668,203650148.18526691,0.1
67799695.787314668,-203650148.18526691,0.1
-67799695.787314668,-203650148.18526691,0.1
-67799695.787314668,203650148.18526691,0.1
15792775.783363748,2494494113.0449142,0.1
15792775.783363748,-2494494113.0449142,0.1
-15792775.783363748,-2494494113.0449142,0.1
-15792775.783363748,2494494113.0449142,0.1
934003778.44600916,770162560.76425993,0.1
934003778.44600916,-770162560.76425993,0.1
-934003778.44600916,-770162560.76425993,0.1
-934003778.44600916,770162560.76425993,0.1
1420026377.905386,1584517313.639123,0.1
1420026377.905386,-1584517313.639123,0.1
-1420026377.905386,-1584517313.639123,0.1
-1420026377.905386,1584517313.639123,0.1
2787036003.8774261,120760246.32050537,0.1
2787036003.8774261,-120760246.32050537,0.1
-2787036003.8774261,-120760246.32050537,0.1
-2787036003.8774261,120760246.32050537,0.1
2083563016.2911887,1808024458.9925897,0.1
2083563016.2911887,-1808024458.9925897,0.1
-2083563016.2911887,-1808024458.9925897,0.1
-2083563016.2911887,1808024458.9925897,0.1
911728701.27650177,2972277224.8859997,0.1
911728701.27650177,-2972277224.8859997,0.1
-911728701.27650177,-2972277224.8859997,0.1
-911728701.27650177,2972277224.8859997,0.1
2277196563.8408732,890158086.30058253,0.1
2277196563.8408732,-890158086.30058253,0.1
-2277196563.8408732,-890158086.30058253,0.1
-2277196563.8408732,890158086.30058253,0.1
2460990814.3001456,2975211025.5389371,0.1
2460990814.3001456,-2975211025.5389371,0.1
-2460990814.3001456,-2975211025.5389371,0.1
-2460990814.3001456,2975211025.5389371,0.1
42623102.754259557,2440148677.1199946,0.1
42623102.754259557,-2440148677.1199946,0.1
-42623102.754259557,-2440148677.1199946,0.1
-42623102.754259557,2440148677.1199946,0.1
2478468210.4551172,2001014218.3592992,0.1
2478468210.4551172,-2001014218.3592992,0.1
-2478468210.4551172,-2001014218.3592992,0.1
-2478468210.4551172,2001014218.3592992,0.1
1160316891.5964112,610187486.60225582,0.1
1160316891.5964112,-610187486.60225582,0.1
-1160316891.5964112,-610187486.60225582,0.1
-1160316891.5964112,610187486.60225582,0.1
96441100.837220147,236178067.25147939,0.1
96441100.837220147,-236178067.25147939,0.1
-96441100.837220147,-236178067.25147939,0.1
-96441100.837220147,236178067.25147939,0.1
130236726.45651512,1414159883.2598636,0.1
130236726.45651512,-1414159883.2598636,0.1
-130236726.45651512,-1414159883.2598636,0.1
-130236726.45651512,1414159883.2598636,0.1
3003077308.2791672,115861673.8567349,0.1
3003077308.2791672,-115861673.8567349,0.1
-3003077308.2791672,-115861673.8567349,0.1
-3003077308.2791672,115861673.8567349,0.1
148731578.34235716,2146607867.653918,0.1
148731578.34235716,-2146607867.653918,0.1
-148731578.34235716,-2146607867.653918,0.1
-148731578.34235716,2146607867.653918,0.1
2777869737.815618,1298645512.1043115,0.1
2777869737.815618,-1298645512.1043115,0.1
-2777869737.815618,-1298645512.1043115,0.1
-2777869737.815618,1298645512.1043115,0.1
2627569859.238667,2842200249.8058219,0.1
2627569859.238667,-2842200249.8058219,0.1
