sigma_x,sigma_y,tau_xy
0.0,0.0,0.0
1271032450.1770034,2035697362.4577587,0.1
1271032450.1770034,-2035697362.4577587,0.1
-1271032450.1770034,-2035697362.4577587,0.1
-1271032450.1770034,2035697362.4577587,0.1
334641427.2325213,142003180.19917631,0.1
334641427.2325213,-142003180.19917631,0.1
-334641427.2325213,-142003180.19917631,0.1
-334641427.2325213,142003180.19917631,0.1
958174186.4450618,1048925598.6350679,0.1
958174186.4450618,-1048925598.6350679,0.1
-958174186.4450618,-1048925598.6350679,0.1
-958174186.4450618,1048925598.6350679,0.1
279794777.67212641,414041351.66042799,0.1
279794777.67212641,-414041351.66042799,0.1
-279794777.67212641,-414041351.66042799,0.1
-279794777.67212641,414041351.66042799,0.1
404906670.02941799,1712641033.5949674,0.1
404906670.02941799,-1712641033.5949674,0.1
-404906670.02941799,-1712641033.5949674,0.1
-404906670.02941799,1712641033.5949674,0.1
378158358.52678603,394025477.89053094,0.1
378158358.52678603,-394025477.89053094,0.1
-378158358.52678603,-394025477.89053094,0.1
-378158358.52678603,394025477.89053094,0.1
1888664675.4218845,472695279.39017779,0.1
1888664675.4218845,-472695279.39017779,0.1
-1888664675.4218845,-472695279.39017779,0.1
-1888664675.4218845,472695279.39017779,0.1
916586873.8145498,595579297.2850523,0.1
916586873.8145498,-595579297.2850523,0.1
-916586873.8145498,-595579297.2850523,0.1
-916586873.8145498,595579297.2850523,0.1
391570274.78451949,593071805.29506445,0.1
391570274.78451949,-593071805.29506445,0.1
-391570274.78451949,-593071805.29506445,0.1
-391570274.78451949,593071805.29506445,0.1
1395676588.3002393,348858320.77567703,0.1
1395676588.3002393,-348858320.77567703,0.1
-1395676588.3002393,-348858320.77567703,0.1
-1395676588.3002393,348858320.77567703,0.1
1042758630.8610147,614464922.50594091,0.1
1042758630.8610147,-614464922.50594091,0.1
-1042758630.8610147,-614464922.50594091,0.1
-1042758630.8610147,614464922.50594091,0.1
1699035538.9141173,1777618474.1357894,0.1
1699035538.9141173,-1777618474.1357894,0.1
-1699035538.9141173,-1777618474.1357894,0.1
-1699035538.9141173,1777618474.1357894,0.1
1964108842.0219901,1847563356.0236163,0.1
1964108842.0219901,-1847563356.0236163,0.1
-1964108842.0219901,-1847563356.0236163,0.1
-1964108842.0219901,1847563356.0236163,0.1
1731504277.3310399,904858509.46091092,0.1
1731504277.3310399,-904858509.46091092,0.1
-1731504277.3310399,-904858509.46091092,0.1
-1731504277.3310399,904858509.46091092,0.1
121751086.85249493,2023427012.231004,0.1
121751086.85249493,-2023427012.231004,0.1
-121751086.85249493,-2023427012.231004,0.1
-121751086.85249493,2023427012.231004,0.1
1374513071.3347576,1492055328.4833376,0.1
1374513071.3347576,-1492055328.4833376,0.1
-1374513071.3347576,-1492055328.4833376,0.1
-1374513071.3347576,1492055328.4833376,0.1
1999393038.9553106,571314875.69832933,0.1
1999393038.9553106,-571314875.69832933,0.1
-1999393038.9553106,-571314875.69832933,0.1
-1999393038.9553106,571314875.69832933,0.1
1386013872.6913397,2033560444.6792951,0.1
1386013872.6913397,-2033560444.6792951,0.1
-1386013872.6913397,-2033560444.6792951,0.1
-1386013872.6913397,2033560444.6792951,0.1
1618771545.4566803,200808573.90705317,0.1
1618771545.4566803,-200808573.90705317,0.1
-1618771545.4566803,-200808573.90705317,0.1
-1618771545.4566803,200808573.90705317,0.1
1992982730.4026773,1472918764.7149136,0.1
1992982730.4026773,-1472918764.7149136,0.1
-1992982730.4026773,-1472918764.7149136,0.1
-1992982730.4026773,1472918764.7149136,0.1
1419078930.4978912,5428486.3230511863,0.1
1419078930.4978912,-5428486.3230511863,0.1
-1419078930.4978912,-5428486.3230511863,0.1
-1419078930.4978912,5428486.3230511863,0.1
1507224998.1703959,2025548934.2494817,0.1
1507224998.1703959,-2025548934.2494817,0.1
-1507224998.1703959,-2025548934.2494817,0.1
-1507224998.1703959,2025548934.2494817,0.1
465086330.46830297,1270145914.0282416,0.1
465086330.46830297,-1270145914.0282416,0.1
-465086330.46830297,-1270145914.0282416,0.1
-465086330.46830297,1270145914.0282416,0.1
1827684357.5234532,1571504687.1694577,0.1
1827684357.5234532,-1571504687.1694577,0.1
-1827684357.5234532,-1571504687.1694577,0.1
-1827684357.5234532,1571504687.1694577,0.1
1687993482.4293411,1131198360.4773703,0.1
1687993482.4293411,-1131198360.4773703,0.1
-1687993482.4293411,-1131198360.4773703,0.1
-1687993482.4293411,1131198360.4773703,0.1
1675979726.2227967,1182610877.9759636,0.1
1675979726.2227967,-1182610877.9759636,0.1
-1675979726.2227967,-1182610877.9759636,0.1
-1675979726.2227967,1182610877.9759636,0.1
1933175877.212455,739266460.1507659,0.1
1933175877.212455,-739266460.1507659,0.1
-1933175877.212455,-739266460.1507659,0.1
-1933175877.212455,739266460.1507659,0.1
1901327125.5516384,179664911.74261081,0.1
1901327125.5516384,-179664911.74261081,0.1
-1901327125.5516384,-179664911.74261081,0.1
-1901327125.5516384,179664911.74261081,0.1
1677859961.7484031,242752501.02743521,0.1
1677859961.7484031,-242752501.02743521,0.1
-1677859961.7484031,-242752501.02743521,0.1
-1677859961.7484031,242752501.02743521,0.1
1129272313.8301837,745632243.59251928,0.1
1129272313.8301837,-745632243.59251928,0.1
-1129272313.8301837,-745632243.59251928,0.1
-1129272313.8301837,745632243.59251928,0.1
188239873.40737185,1735867531.5666807,0.1
188239873.40737185,-1735867531.5666807,0.1
-188239873.40737185,-1735867531.5666807,0.1
-188239873.40737185,1735867531.5666807,0.1
1960003289.9479511,1473943412.3519731,0.1
1960003289.9479511,-1473943412.3519731,0.1
-1960003289.9479511,-1473943412.3519731,0.1
-1960003289.9479511,1473943412.3519731,0.1
1575595265.8919196,1007549191.9297643,0.1
1575595265.8919196,-1007549191.9297643,0.1
-1575595265.8919196,-1007549191.9297643,0.1
-1575595265.8919196,1007549191.9297643,0.1
665088706.06789064,1847374934.2026055,0.1
665088706.06789064,-1847374934.2026055,0.1
-665088706.06789064,-1847374934.2026055,0.1
-665088706.06789064,1847374934.2026055,0.1
1957194113.494982,1903517471.815002,0.1
1957194113.494982,-1903517471.815002,0.1
-1957194113.494982,-1903517471.815002,0.1
-1957194113.494982,1903517471.815002,0.1
418611298.01809853,1029156597.3878262,0.1
418611298.01809853,-1029156597.3878262,0.1
-418611298.01809853,-1029156597.3878262,0.1
-418611298.01809853,1029156597.3878262,0.1
1212783785.2905846,924371158.16449881,0.1
1212783785.2905846,-924371158.16449881,0.1
-1212783785.2905846,-924371158.16449881,0.1
-1212783785.2905846,924371158.16449881,0.1
236832954.50589973,1569886866.1862812,0.1
236832954.50589973,-1569886866.1862812,0.1
-236832954.50589973,-1569886866.1862812,0.1
-236832954.50589973,1569886866.1862812,0.1
1729536798.36918,1662049718.4382155,0.1
1729536798.36918,-1662049718.4382155,0.1
-1729536798.36918,-1662049718.4382155,0.1
-1729536798.36918,1662049718.4382155,0.1
468599026.12719941,596743041.52911437,0.1
468599026.12719941,-596743041.52911437,0.1
-468599026.12719941,-596743041.52911437,0.1
-468599026.12719941,596743041.52911437,0.1
67538328.731408581,1842967210.3687048,0.1
67538328.731408581,-1842967210.3687048,0.1
-67538328.731408581,-1842967210.3687048,0.1
-67538328.731408581,1842967210.3687048,0.1
56288368.799165472,1855768768.0084386,0.1
56288368.799165472,-1855768768.0084386,0.1
-56288368.799165472,-1855768768.0084386,0.1
-56288368.799165472,1855768768.0084386,0.1
1298388235.566771,680778583.00104856,0.1
1298388235.566771,-680778583.00104856,0.1
-1298388235.566771,-680778583.00104856,0.1
-1298388235.566771,680778583.00104856,0.1
25634590.141616922,1174574392.3651404,0.1
25634590.141616922,-1174574392.3651404,0.1
-25634590.141616922,-1174574392.3651404,0.1
-25634590.141616922,1174574392.3651404,0.1
447711119.99967581,917389795.32763362,0.1
447711119.99967581,-917389795.32763362,0.1
-447711119.99967581,-917389795.32763362,0.1
-447711119.99967581,917389795.32763362,0.1
1017655908.3831722,930576129.49254227,0.1
1017655908.3831722,-930576129.49254227,0.1
-1017655908.3831722,-930576129.49254227,0.1
-1017655908.3831722,930576129.49254227,0.1
2045827035.8917928,85680714.564135566,0.1
2045827035.8917928,-85680714.564135566,0.1
-2045827035.8917928,-85680714.564135566,0.1
-2045827035.8917928,85680714.564135566,0.1
687926344.53755569,548720146.31128943,0.1
687926344.53755569,-548720146.31128943,0.1
-687926344.53755569,-548720146.31128943,0.1
-687926344.53755569,548720146.31128943,0.1
1681540687.6108429,1706221042.5339456,0.1
1681540687.6108429,-1706221042.5339456,0.1
-1681540687.6108429,-1706221042.5339456,0.1
-1681540687.6108429,1706221042.5339456,0.1
1610238675.8937941,11814255.872912502,0.1
1610238675.8937941,-11814255.872912502,0.1
-1610238675.8937941,-11814255.872912502,0.1
-1610238675.8937941,11814255.872912502,0.1
18177150.582024265,1606421927.6452103,0.1
18177150.582024265,-1606421927.6452103,0.1
-18177150.582024265,-1606421927.6452103,0.1
-18177150.582024265,1606421927.6452103,0.1
97917321.976587936,1898208871.3874948,0.1
97917321.976587936,-1898208871.3874948,0.1
-97917321.976587936,-1898208871.3874948,0.1
-97917321.976587936,1898208871.3874948,0.1
1507850141.6637988,1582037084.2174003,0.1
1507850141.6637988,-1582037084.2174003,0.1
-1507850141.6637988,-1582037084.2174003,0.1
-1507850141.6637988,1582037084.2174003,0.1
855505608.9847616,555100121.32508147,0.1
855505608.9847616,-555100121.32508147,0.1
-855505608.9847616,-555100121.32508147,0.1
-855505608.9847616,555100121.32508147,0.1
1814275606.0627339,595351218.83879697,0.1
1814275606.0627339,-595351218.83879697,0.1
-1814275606.0627339,-595351218.83879697,0.1
-1814275606.0627339,595351218.83879697,0.1
1114512665.4858012,558876737.28994977,0.1
1114512665.4858012,-558876737.28994977,0.1
-1114512665.4858012,-558876737.28994977,0.1
-1114512665.4858012,558876737.28994977,0.1
587426440.76174855,48295000.762560599,0.1
587426440.76174855,-48295000.762560599,0.1
-587426440.76174855,-48295000.762560599,0.1
-587426440.76174855,48295000.762560599,0.1
604342561.05418015,703938992.66768694,0.1
604342561.05418015,-703938992.66768694,0.1
-604342561.05418015,-703938992.66768694,0.1
-604342561.05418015,703938992.66768694,0.1
1456417836.2656074,212917233.70427075,0.1
1456417836.2656074,-212917233.70427075,0.1
-1456417836.2656074,-212917233.70427075,0.1
-1456417836.2656074,212917233.70427075,0.1
