sigma_x,sigma_y,tau_xy
0.0,0.0,0.0
240328498.10808462,45273008.682596788,0.1
240328498.10808462,-45273008.682596788,0.1
-240328498.10808462,-45273008.682596788,0.1
-240328498.10808462,45273008.682596788,0.1
123666001.48370703,130940392.40185842,0.1
123666001.48370703,-130940392.40185842,0.1
-123666001.48370703,-130940392.40185842,0.1
-123666001.48370703,130940392.40185842,0.1
196455071.09148139,210648928.34585625,0.1
196455071.09148139,-210648928.34585625,0.1
-196455071.09148139,-210648928.34585625,0.1
-196455071.09148139,210648928.34585625,0.1
267087592.95432946,308412777.19958395,0.1
267087592.95432946,-308412777.19958395,0.1
-267087592.95432946,-308412777.19958395,0.1
-267087592.95432946,308412777.19958395,0.1
193227234.99183989,353429299.25181437,0.1
193227234.99183989,-353429299.25181437,0.1
-193227234.99183989,-353429299.25181437,0.1
-193227234.99183989,353429299.25181437,0.1
18839471.704211336,174601308.34819099,0.1
18839471.704211336,-174601308.34819099,0.1
-18839471.704211336,-174601308.34819099,0.1
-18839471.704211336,174601308.34819099,0.1
3458331.1605097852,151265241.98571199,0.1
3458331.1605097852,-151265241.98571199,0.1
-3458331.1605097852,-151265241.98571199,0.1
-3458331.1605097852,151265241.98571199,0.1
366999719.8097918,325320578.49789137,0.1
366999719.8097918,-325320578.49789137,0.1
-366999719.8097918,-325320578.49789137,0.1
-366999719.8097918,325320578.49789137,0.1
36679352.078007512,53931370.932457134,0.1
36679352.078007512,-53931370.932457134,0.1
-36679352.078007512,-53931370.932457134,0.1
-36679352.078007512,53931370.932457134,0.1
78840295.680559143,320006578.73488945,0.1
78840295.680559143,-320006578.73488945,0.1
-78840295.680559143,-320006578.73488945,0.1
-78840295.680559143,320006578.73488945,0.1
92978211.996349171,54920244.577789389,0.1
92978211.996349171,-54920244.577789389,0.1
-92978211.996349171,-54920244.577789389,0.1
-92978211.996349171,54920244.577789389,0.1
20348619.936475981,293502590.18195951,0.1
20348619.936475981,-293502590.18195951,0.1
-20348619.936475981,-293502590.18195951,0.1
-20348619.936475981,293502590.18195951,0.1
205043918.60817713,162447135.04897967,0.1
205043918.60817713,-162447135.04897967,0.1
-205043918.60817713,-162447135.04897967,0.1
-205043918.60817713,162447135.04897967,0.1
93900754.181140944,162961815.3347764,0.1
93900754.181140944,-162961815.3347764,0.1
-93900754.181140944,-162961815.3347764,0.1
-93900754.181140944,162961815.3347764,0.1
219809705.1539388,161072827.27779707,0.1
219809705.1539388,-161072827.27779707,0.1
-219809705.1539388,-161072827.27779707,0.1
-219809705.1539388,161072827.27779707,0.1
250280406.00111797,54350266.325167492,0.1
250280406.00111797,-54350266.325167492,0.1
-250280406.00111797,-54350266.325167492,0.1
-250280406.00111797,54350266.325167492,0.1
168407167.15886065,238315017.65351713,0.1
168407167.15886065,-238315017.65351713,0.1
-168407167.15886065,-238315017.65351713,0.1
-168407167.15886065,238315017.65351713,0.1
127288552.15224323,60597426.394522198,0.1
127288552.15224323,-60597426.394522198,0.1
-127288552.15224323,-60597426.394522198,0.1
-127288552.15224323,60597426.394522198,0.1
61341262.572663754,312214101.56704235,0.1
61341262.572663754,-312214101.56704235,0.1
-61341262.572663754,-312214101.56704235,0.1
-61341262.572663754,312214101.56704235,0.1
79568465.431261897,271968850.23629916,0.1
79568465.431261897,-271968850.23629916,0.1
-79568465.431261897,-271968850.23629916,0.1
-79568465.431261897,271968850.23629916,0.1
63580811.560079888,323164813.60273069,0.1
63580811.560079888,-323164813.60273069,0.1
-63580811.560079888,-323164813.60273069,0.1
-63580811.560079888,323164813.60273069,0.1
294441799.65509039,115638116.1195087,0.1
294441799.65509039,-115638116.1195087,0.1
-294441799.65509039,-115638116.1195087,0.1
-294441799.65509039,115638116.1195087,0.1
69093254.411208004,348201401.02017903,0.1
69093254.411208004,-348201401.02017903,0.1
-69093254.411208004,-348201401.02017903,0.1
-69093254.411208004,348201401.02017903,0.1
54230341.300912388,257352408.0895533,0.1
54230341.300912388,-257352408.0895533,0.1
-54230341.300912388,-257352408.0895533,0.1
-54230341.300912388,257352408.0895533,0.1
105052382.88162132,83845713.737410739,0.1
105052382.88162132,-83845713.737410739,0.1
-105052382.88162132,-83845713.737410739,0.1
-105052382.88162132,83845713.737410739,0.1
230731168.3374607,114017060.46098776,0.1
230731168.3374607,-114017060.46098776,0.1
-230731168.3374607,-114017060.46098776,0.1
-230731168.3374607,114017060.46098776,0.1
161243539.07319885,322482474.39921439,0.1
161243539.07319885,-322482474.39921439,0.1
-161243539.07319885,-322482474.39921439,0.1
-161243539.07319885,322482474.39921439,0.1
129757884.91387305,306729302.54118627,0.1
129757884.91387305,-306729302.54118627,0.1
-129757884.91387305,-306729302.54118627,0.1
-129757884.91387305,306729302.54118627,0.1
371524375.84480053,155874805.40731573,0.1
371524375.84480053,-155874805.40731573,0.1
-371524375.84480053,-155874805.40731573,0.1
-371524375.84480053,155874805.40731573,0.1
273133072.52373773,334703262.94428086,0.1
273133072.52373773,-334703262.94428086,0.1
-273133072.52373773,-334703262.94428086,0.1
-273133072.52373773,334703262.94428086,0.1
362322103.16478974,12955613.175755229,0.1
362322103.16478974,-12955613.175755229,0.1
-362322103.16478974,-12955613.175755229,0.1
-362322103.16478974,12955613.175755229,0.1
69126790.029990315,363192967.08685362,0.1
69126790.029990315,-363192967.08685362,0.1
-69126790.029990315,-363192967.08685362,0.1
-69126790.029990315,363192967.08685362,0.1
333922999.47592622,117312235.52459472,0.1
333922999.47592622,-117312235.52459472,0.1
-333922999.47592622,-117312235.52459472,0.1
-333922999.47592622,117312235.52459472,0.1
2969310.4079622771,320159034.55540866,0.1
2969310.4079622771,-320159034.55540866,0.1
-2969310.4079622771,-320159034.55540866,0.1
-2969310.4079622771,320159034.55540866,0.1
223671088.79166099,78596777.295076087,0.1
223671088.79166099,-78596777.295076087,0.1
-223671088.79166099,-78596777.295076087,0.1
-223671088.79166099,78596777.295076087,0.1
160327835.48849145,102646659.01487108,0.1
160327835.48849145,-102646659.01487108,0.1
-160327835.48849145,-102646659.01487108,0.1
-160327835.48849145,102646659.01487108,0.1
43289337.820071079,317121395.26737815,0.1
43289337.820071079,-317121395.26737815,0.1
-43289337.820071079,-317121395.26737815,0.1
-43289337.820071079,317121395.26737815,0.1
68259510.426720411,171436102.21655419,0.1
68259510.426720411,-171436102.21655419,0.1
-68259510.426720411,-171436102.21655419,0.1
-68259510.426720411,171436102.21655419,0.1
297321382.87596309,141117069.89211646,0.1
297321382.87596309,-141117069.89211646,0.1
-297321382.87596309,-141117069.89211646,0.1
-297321382.87596309,141117069.89211646,0.1
221981667.64460489,72612978.841004476,0.1
221981667.64460489,-72612978.841004476,0.1
-221981667.64460489,-72612978.841004476,0.1
-221981667.64460489,72612978.841004476,0.1
316086860.244636,103542228.05764695,0.1
316086860.244636,-103542228.05764695,0.1
-316086860.244636,-103542228.05764695,0.1
-316086860.244636,103542228.05764695,0.1
19453014.223575432,179839627.46291801,0.1
19453014.223575432,-179839627.46291801,0.1
-19453014.223575432,-179839627.46291801,0.1
-19453014.223575432,179839627.46291801,0.1
96436544.081495836,347328398.66903937,0.1
96436544.081495836,-347328398.66903937,0.1
-96436544.081495836,-347328398.66903937,0.1
-96436544.081495836,347328398.66903937,0.1
201668353.61788574,178835206.66464776,0.1
201668353.61788574,-178835206.66464776,0.1
-201668353.61788574,-178835206.66464776,0.1
-201668353.61788574,178835206.66464776,0.1
251680309.19088861,156409509.35404041,0.1
251680309.19088861,-156409509.35404041,0.1
-251680309.19088861,-156409509.35404041,0.1
-251680309.19088861,156409509.35404041,0.1
160672315.59991658,42879547.125993274,0.1
160672315.59991658,-42879547.125993274,0.1
-160672315.59991658,-42879547.125993274,0.1
-160672315.59991658,42879547.125993274,0.1
196317201.11809048,362044082.95211643,0.1
196317201.11809048,-362044082.95211643,0.1
-196317201.11809048,-362044082.95211643,0.1
-196317201.11809048,362044082.95211643,0.1
57905552.160328574,133677843.78703369,0.1
57905552.160328574,-133677843.78703369,0.1
-57905552.160328574,-133677843.78703369,0.1
-57905552.160328574,133677843.78703369,0.1
42814007.404277384,143053525.96016017,0.1
42814007.404277384,-143053525.96016017,0.1
-42814007.404277384,-143053525.96016017,0.1
-42814007.404277384,143053525.96016017,0.1
114583102.41155508,130607246.52506773,0.1
114583102.41155508,-130607246.52506773,0.1
-114583102.41155508,-130607246.52506773,0.1
-114583102.41155508,130607246.52506773,0.1
194401826.59715059,136982437.45837295,0.1
194401826.59715059,-136982437.45837295,0.1
-194401826.59715059,-136982437.45837295,0.1
-194401826.59715059,136982437.45837295,0.1
117557326.5670283,77435581.5819491,0.1
117557326.5670283,-77435581.5819491,0.1
-117557326.5670283,-77435581.5819491,0.1
-117557326.5670283,77435581.5819491,0.1
161079512.94390655,143866592.33866608,0.1
161079512.94390655,-143866592.33866608,0.1
-161079512.94390655,-143866592.33866608,0.1
-161079512.94390655,143866592.33866608,0.1
